"","teamname","season","PN","PN-","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","SCF","SCA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","SCF%","SCF60","SCA60","SC+/-","SCP60","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"1","T.B","20142015",13,21,92,102,130,136,303,191,228,127,176,88,16,10,169,82,98,114,54,280.783333333333,6,61.336032388664,64.7474327773491,40.814388318395,112,105.561821095744,64.2253521126761,48.720840505728,27.1383629132783,101,75.8592034190063,66.6666666666667,37.6090698640707,18.8045349320354,88,61.5384615384615,3.41900635127916,2.13687896954947,6,67.3306772908366,36.1132545853861,17.5224075503057,87,53.6356621356918,64.4736842105263,97.7272727272727,48.8721804511278,77.1929824561404,58.0858085808581,9.09090909090909,7.01754385964912,88.6363636363636,52,39,75,64
"2","L.A","20142015",16,16,170,149,164,124,302,193,225,140,161,103,12,15,126,88,103,120,65,289.65,6,61.010101010101,62.558259968928,39.9792853443812,109,102.537545313309,61.6438356164384,46.6079751424133,29.0005178663905,85,75.6084930088037,60.9848484848485,33.350595546349,21.3360952874158,58,44.4444444444444,2.48575867426204,3.10719834282755,-3,58.8785046728972,26.1004660797514,18.2288969445883,38,44.3293630243397,61.3095238095238,92.8903093529518,56.9444444444444,71.5555555555556,53.3112582781457,7.45341614906832,5.33333333333333,85.4368932038835,64,37,77,53
"3","NYI","20142015",16,25,197,174,159,135,331,249,236,167,163,117,14,14,158,122,110,99,85,330.633333333333,7,57.0689655172414,60.0665389656215,45.1860066538966,82,105.252545619518,58.560794044665,42.8268978727694,30.3054743421716,69,73.132372214941,58.2142857142857,29.5795947172094,21.2319790301442,46,50,2.54057868736768,2.54057868736768,0,56.4285714285714,28.6722451860067,22.1393285613469,36,50.8115737473536,56.4102564102564,96.6231450894028,54.0816326530612,69.0677966101695,49.2447129909366,8.58895705521472,5.93220338983051,88.034188034188,73,50,95,82
"4","PIT","20142015",15,12,165,127,120,124,307,228,216,171,156,130,11,13,138,93,86,93,65,286.558333333333,6,57.3831775700935,64.2801058539564,47.738971122808,79,112.019076976764,55.8139534883721,45.2263936952918,35.804228342106,45,81.0306220373979,54.5454545454545,32.6635065577108,27.2195887980923,26,45.8333333333333,2.30319597522319,2.72195887980923,-2,59.7402597402597,28.8946404164364,19.4724750632506,45,48.3671154796871,56.953642384106,97.051282051282,49.1803278688525,72.2222222222222,50.814332247557,7.05128205128205,5.09259259259259,90,60,41,91,57
"5","DET","20142015",14,18,103,106,140,130,267,196,190,154,134,113,8,7,119,83,95,93,82,285,6,57.6673866090713,56.2105263157895,41.2631578947368,71,97.4736842105263,55.2325581395349,40,32.4210526315789,36,72.4210526315789,54.251012145749,28.2105263157895,23.7894736842105,21,53.3333333333333,1.68421052631579,1.47368421052632,1,58.9108910891089,25.0526315789474,17.4736842105263,36,42.5263157894737,53.6723163841808,99.7754589882446,51.8518518518519,70.5263157894737,50.187265917603,5.97014925373134,4.21052631578947,93.8053097345133,56,41,77,42
"6","ANA","20142015",16,20,137,115,154,115,311,243,235,185,146,118,9,11,118,78,102,89,78,280.975,6,56.1371841155235,66.4116024557345,51.8907376101077,68,118.302340065842,55.9523809523809,50.1824005694457,39.5052940653083,50,89.687694634754,55.3030303030303,31.1771509920811,25.1979713497642,28,45,1.92187917074473,2.34896343091022,-2,60.2040816326531,25.1979713497642,16.6562861464543,40,41.8542574962185,56.6666666666667,96.8423496633388,57.2490706319703,62.1276595744681,46.9453376205788,6.16438356164384,3.82978723404255,90.6779661016949,89,67,76,58
"7","OTT","20142015",22,17,127,128,131,132,272,214,194,168,147,132,14,11,114,93,75,93,95,267.691666666667,6,55.9670781893004,60.9656632319522,47.9656321016094,58,108.931295333562,53.5911602209945,43.4828627463188,37.6552625844411,26,81.1381253307599,52.6881720430108,32.9483547613859,29.586277744918,15,56,3.13793854870342,2.46552314540983,3,55.0724637681159,25.5517853251564,20.8448775021013,21,46.3966628272577,44.1176470588235,101.190476190476,49.8098859315589,75.7731958762887,54.0441176470588,9.52380952380952,7.21649484536082,91.6666666666667,47,36,78,46
"8","STL","20142015",20,20,146,174,192,145,320,285,262,213,180,160,24,12,144,110,109,119,109,340.375,7,52.8925619834711,56.4083731178847,50.238707308116,35,106.647080426001,55.1578947368421,46.1843554902681,37.546823356592,49,83.7311788468601,52.9411764705882,31.7297098788101,28.2041865589423,20,66.6666666666667,4.23062798384135,2.11531399192068,12,56.6929133858268,25.3837679030481,19.3903782592729,34,44.774146162321,50,105.833333333333,56.973293768546,68.7022900763359,56.25,13.3333333333333,9.16030534351145,92.5,82,53,58,72
"9","NYR","20142015",17,9,123,130,113,170,296,261,217,187,158,125,14,7,120,92,89,114,80,300.308333333333,6,53.1418312387792,59.1392180259178,52.146405083664,35,111.285623109582,53.7128712871287,43.3554402419735,37.3616005771846,30,80.7170408191581,55.8303886925795,31.5675555678886,24.9743319366207,33,66.6666666666667,2.79712517690152,1.39856258845076,7,56.6037735849057,23.9753586591559,18.3811083053528,28,42.3564669645087,52.6627218934911,103.260759493671,39.9293286219081,72.8110599078341,53.3783783783784,8.86075949367089,6.45161290322581,94.4,59,62,79,74
"10","DAL","20142015",20,22,150,148,183,156,319,288,233,206,167,155,23,13,156,118,104,132,103,330.533333333333,7,52.5535420098847,57.9064138765631,52.2791448164582,31,110.185558693021,53.0751708428246,42.2952803549818,37.3941105284389,27,79.6893908834207,51.8633540372671,30.3146430012102,28.1363453005244,12,63.8888888888889,4.17507059298104,2.35982250907624,10,56.9343065693431,28.3178701089149,21.4199273900766,38,49.7377974989915,50.2415458937198,105.385358315627,53.9823008849558,71.6738197424893,52.3510971786834,13.7724550898204,9.87124463519313,91.6129032258064,66,51,86,82
