"","teamname","season","PN","PN-","PenD","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","SCF","SCA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","SCF%","SCF60","SCA60","SC+/-","SCP60","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"1","DET","20142015",15,19,4,121,154,173,158,321,218,216,178,147,130,11,9,141,102,122,115,94,340.866666666667,7,59.5547309833024,56.503031488363,38.3727752787013,103,94.8758067670643,54.8223350253807,38.020731468805,31.3318990807745,38,69.3526305495795,53.0685920577617,25.8752200273812,22.8828476432623,17,55,1.93624095442988,1.58419714453354,2,58.0246913580247,24.8190885976922,17.9542343047135,39,42.7733229024056,56.4814814814815,100.559916274202,52.2658610271903,68.0555555555556,45.7943925233645,7.48299319727891,5.09259259259259,93.0769230769231,69,48,105,40
"2","OTT","20142015",17,15,-2,120,131,145,136,319,226,228,175,170,129,13,13,143,86,88,106,87,277.583333333333,6,58.5321100917431,68.9522665866106,48.8501951365956,93,117.802461723206,56.575682382134,49.2824977484239,37.8264785349745,53,87.1089762833984,56.8561872909699,36.7457220054038,27.883518462924,41,50,2.80996697688382,2.80996697688382,0,62.4454148471616,30.909636745722,18.589012308616,57,49.498649054338,50.2857142857143,97.5695394436844,51.6014234875445,74.5614035087719,53.2915360501567,7.64705882352941,5.70175438596491,89.922480620155,58,46,91,51
"3","NYI","20142015",13,19,6,210,170,153,134,307,252,213,174,157,119,19,11,143,109,92,107,88,306.408333333333,7,54.9194991055456,60.115858467731,49.3459163969648,55,109.461774864696,55.0387596899225,41.7090483831488,34.0721803693329,39,75.7812287524817,56.8840579710145,30.7432891838233,23.3022382985667,38,63.3333333333333,3.7205254426283,2.15398841415323,8,56.7460317460317,28.0018493839919,21.3440670129729,34,49.3459163969648,51.1111111111111,102.858213349034,53.3101045296167,73.7089201877934,51.1400651465798,12.1019108280255,8.92018779342723,90.7563025210084,56,55,94,78
"4","MIN","20142015",14,25,11,85,91,155,174,338,290,254,203,195,152,13,18,169,147,110,136,83,335.45,7,53.8216560509554,60.4561037412431,51.8706215531376,48,112.326725294381,55.5798687089716,45.4315099120584,36.3094350871963,51,81.7409449992547,56.1959654178674,34.8785213891787,27.1873602623342,43,41.9354838709677,2.32523475927858,3.21955582053957,-5,53.4810126582278,30.2280518706216,26.2930392010732,22,56.5210910716947,56.9948186528497,94.8245614035088,47.112462006079,76.7716535433071,57.6923076923077,6.66666666666667,5.11811023622047,88.1578947368421,59,51,84,87
"5","CAR","20142015",10,12,2,102,158,140,148,316,270,228,205,165,146,13,16,153,130,100,95,93,303.55,6,53.9249146757679,62.4608795915006,53.3684730686872,46,115.829352660188,52.6558891454965,45.0667105913359,40.5205073299292,23,85.587217921265,53.0546623794212,32.6140668753088,28.8585076593642,19,44.8275862068966,2.56959314775161,3.16257618184813,-3,54.0636042402827,30.2421347389227,25.6959314775161,23,55.9380662164388,51.8134715025907,96.9198837691988,48.6111111111111,72.3684210526316,52.2151898734177,7.87878787878788,5.70175438596491,89.041095890411,63,59,88,65
"6","BOS","20142015",19,13,-6,148,157,155,134,273,229,204,174,156,117,11,6,119,103,105,104,80,286.708333333333,6,54.3824701195219,57.1312309257375,47.9232669670106,44,105.054497892748,53.968253968254,42.6914692631885,36.4133120186019,30,79.1047812817904,57.1428571428571,32.64641767185,24.4848132538875,39,64.7058823529412,2.30199098968173,1.25563144891731,5,53.6036036036036,24.9033570701933,21.5550065397471,16,46.4583636099404,56.7567567567568,101.923076923077,53.6332179930796,76.4705882352941,57.1428571428571,7.05128205128205,5.3921568627451,94.8717948717949,48,57,69,55
"7","ANA","20142015",10,14,4,135,127,147,120,255,213,191,156,127,106,9,7,99,82,92,92,83,252.566666666667,5,54.4871794871795,60.5780651973077,50.6005015177511,42,111.178566715059,55.043227665706,45.3741586379834,37.0595222383529,35,82.4336808763363,54.5064377682403,30.1702520786591,25.1814702388808,21,56.25,2.13804935990498,1.66292727992609,2,54.6961325966851,23.5185429589547,19.4800052791342,17,42.998548238089,52.5714285714286,100.482840588323,55.0561797752809,66.4921465968586,49.8039215686275,7.08661417322835,4.71204188481675,93.3962264150943,64,50,64,57
"8","T.B","20142015",16,15,-1,121,124,142,128,269,228,208,172,142,132,12,10,157,109,87,116,67,291.275,6,54.1247484909457,55.4115526564243,46.9659256716162,41,102.377478328041,54.7368421052632,42.8461076302463,35.4304351557806,36,78.276542786027,51.8248175182482,29.2507080937259,27.1907990730409,10,54.5454545454545,2.4718908248219,2.05990902068492,2,59.0225563909774,32.3405716247532,22.4530083254656,48,54.7935799502189,56.4935064935065,100.874946649595,52.5925925925926,68.2692307692308,52.7881040892193,8.45070422535211,5.76923076923077,92.4242424242424,66,40,61,56
"9","L.A","20142015",17,11,-6,156,138,124,115,215,184,170,139,111,95,10,9,97,98,83,80,76,236.841666666667,5,53.8847117794486,54.466767531051,46.6134196544808,31,101.080187185532,55.0161812297735,43.0667464199008,35.2133985433306,31,78.2801449632314,53.8834951456311,28.1200520741705,24.0667112346504,16,52.6315789473684,2.53333802470005,2.28000422223004,1,49.7435897435897,24.5733788395904,24.8267126420604,-1,49.4000914816509,52.2012578616352,99.5353247984827,51.8828451882845,65.2941176470588,51.6279069767442,9.00900900900901,5.88235294117647,90.5263157894737,59,44,45,45
"10","CHI","20142015",17,15,-2,75,140,140,135,303,275,211,202,159,154,12,12,136,135,85,106,84,289.808333333333,6,52.4221453287197,62.731115392357,56.9341806366277,28,119.665296028985,51.089588377724,43.6840440521034,41.8207435949047,9,85.5047876470081,50.7987220447284,32.9183080771774,31.8831411565115,5,50,2.4844006095983,2.4844006095983,0,50.1845018450185,28.156540242114,27.9495068579809,1,56.1060471000949,50.2958579881657,99.754962019113,50.9090909090909,75.3554502369668,52.4752475247525,7.54716981132075,5.68720379146919,92.2077922077922,52,48,92,73
