"","teamname","season","PN","PN-","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","SCF","SCA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","SCF%","SCF60","SCA60","SC+/-","SCP60","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"1","T.B","20142015",123,128,827,879,948,929,1974,1618,1478,1168,1077,846,98,74,1056,822,639,753,485,2064.79166666667,44,54.9554565701559,57.3617193017859,47.0168499646857,356,104.378569266472,55.8578987150416,42.9486429220059,33.9404701846433,310,76.8891131066492,56.00624024961,31.2961356069014,24.5835939864797,231,56.9767441860465,2.8477449298759,2.15033800827364,24,56.2300319488818,30.6859045504994,23.8861870648774,234,54.5720916153769,56.8505338078292,100.352305129168,50.506126798082,72.8687415426252,54.5592705167173,9.09935004642526,6.63058186738836,91.2529550827423,401,322,496,450
"2","L.A","20142015",135,129,1228,1060,1022,995,2036,1687,1533,1306,1048,908,77,67,946,834,695,749,573,2040.91666666667,43,54.6870803115767,59.8554571066923,49.5953615613899,349,109.450818668082,53.9978865797816,45.0679841574456,38.3945122698134,227,83.462496427259,53.5787321063395,30.8096851904781,26.6938875505288,140,53.4722222222222,2.26368870197215,1.96970315626148,10,53.1460674157303,27.8110326242293,24.5183945122698,112,52.3294271364991,54.8107255520505,99.9684736187241,50.6693108577095,68.3626875407697,51.4734774066798,7.34732824427481,5.02283105022831,92.6211453744493,485,398,503,381
"3","CHI","20142015",113,125,605,1037,1038,943,2112,1776,1548,1328,1166,995,88,69,1010,871,710,679,592,2047.09166666667,43,54.320987654321,61.9024551090775,52.0543372508152,336,113.956792359893,53.8247566063978,45.3716858469943,38.9235134397987,220,84.295199286793,53.9565016196205,34.1753137581365,29.1633252052709,171,56.0509554140127,2.57926896287823,2.02238134589316,19,53.6948431685274,29.6029733239433,25.5289007575788,139,55.1318740815222,54.531490015361,100.612496444487,52.3977788995457,75.3229974160207,55.2083333333333,7.54716981132075,5.68475452196382,93.0653266331658,382,333,564,448
"4","NYI","20142015",110,138,1157,917,935,983,2014,1744,1491,1205,1046,866,86,79,1037,888,643,719,556,2035.66666666667,42,53.5923363491219,59.3613885704929,51.4033076797118,270,110.764696250205,55.3041543026706,43.9462911413132,35.5166202718192,286,79.4629114131325,54.7071129707113,30.8301948583593,25.5248075978385,180,52.1212121212121,2.53479613558212,2.3284755198952,7,53.8701298701299,30.5649254953332,26.1732438185689,149,56.7381693139021,53.628023352794,99.0993954755607,48.7486965589155,70.1542588866533,51.9364448857994,8.22179732313576,5.76794097920858,90.8775981524249,445,339,523,539
"5","DET","20142015",109,133,721,853,1024,845,1711,1448,1277,1124,943,837,67,62,837,716,671,670,528,1944.775,42,54.1627097182653,52.7875975369901,44.6735483539227,263,97.4611458909128,53.1861724281549,39.3978737900271,34.6775333907521,153,74.0754071807793,52.9775280898876,29.0933398465118,25.8230386548572,106,51.937984496124,2.06707716830996,1.91281767813757,5,53.8956857694784,25.8230386548572,22.0899589926855,121,47.9129976475428,55.9633027522936,99.6975766859118,54.788657035848,73.8449490994518,55.1139684395091,7.10498409331919,5.24667188723571,92.5925925925926,334,287,434,324
"6","MIN","20142015",99,128,627,771,927,972,1842,1662,1381,1209,987,868,77,88,868,770,636,686,577,1917.03333333333,41,52.5684931506849,57.6515796977969,52.0178748413347,180,109.669454539132,53.3204633204633,43.2230355931909,37.8397176192381,172,81.0627532124289,53.2075471698113,30.8914816296013,27.1669767522735,119,46.6666666666667,2.40997374415329,2.75425570760376,-11,52.991452991453,27.1669767522735,24.0997374415329,98,51.2667141938064,52.4319868095631,97.6631695917901,48.8151658767773,71.4699493120927,53.5830618892508,7.80141843971631,5.5756698044895,89.8617511520737,394,341,461,453
"7","NSH","20142015",109,111,728,752,972,1068,1916,1739,1415,1260,1032,910,92,55,894,743,684,691,665,1969.95,41,52.421340629275,58.3568110865758,52.965811315008,177,111.322622401584,52.8971962616822,43.0975405467144,38.376608543364,155,81.4741490900784,53.1410916580844,31.4322698545648,27.7164395035407,122,62.5850340136054,2.80210157618214,1.67516942054367,37,54.6120952962737,27.2291174902916,22.6300159902536,151,49.8591334805452,50.7042253521127,102.870772638214,47.6470588235294,72.9328621908127,53.8622129436326,8.91472868217054,6.5017667844523,93.956043956044,383,350,501,479
"8","BOS","20142015",136,88,1002,1049,1073,954,1953,1786,1426,1367,1008,1001,76,75,955,858,660,738,629,2125.05,43,52.2332174378176,55.1422319474836,50.4270487753229,167,105.569280722807,51.0562119584676,40.2625820568928,38.5967389002612,59,78.8593209571539,50.1742160278746,28.4605068116044,28.2628644031905,7,50.3311258278146,2.1458318627797,2.11759723300628,1,52.6751241036955,26.9640714336133,24.2253123455919,97,51.1893837792052,51.2024825446082,100.047175047175,52.935372471633,70.687237026648,51.6129032258064,7.53968253968254,5.32959326788219,92.5074925074925,418,366,527,419
"9","WPG","20142015",158,123,1130,916,894,952,1827,1694,1322,1261,951,899,69,65,908,809,602,662,582,1976.05833333333,43,51.8886679920477,55.4740708565452,51.435728533655,133,106.9097993902,51.1807975222609,40.140515420007,38.2883433771776,61,78.4288587971846,51.4054054054054,28.875665782471,27.2967650246492,52,51.4925373134328,2.09507985172502,1.9736259472772,4,52.8829353523588,27.5700363096568,24.5640521745731,99,52.13408848423,50.8445945945946,100.02526466491,48.4290357529794,71.9364599092284,52.0525451559934,7.25552050473186,5.21936459909228,92.769744160178,371,362,505,433
"10","FLA","20142015",106,121,962,978,924,975,1748,1615,1355,1229,1003,880,74,66,745,670,624,669,606,1897.58333333333,40,51.9774011299435,55.2702999429098,51.0649510342102,133,106.33525097712,52.438080495356,42.8439682051732,38.859953449563,126,81.7039216547363,53.2660647902284,31.7140222212463,27.8248649598173,123,52.8571428571429,2.33981818980282,2.0868648719863,8,52.6501766784452,23.5562777216635,21.1848403671336,75,44.7411180887972,50.7317073170732,99.8778664007976,48.6571879936809,74.0221402214022,57.3798627002288,7.37786640079761,5.46125461254613,92.5,352,349,393,386
