"","teamname","season","PN","PN-","PenD","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","SCF","SCA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","SCF%","SCF60","SCA60","SC+/-","SCP60","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"1","CHI","20142015",120,132,12,635,1084,1089,994,2222,1861,1624,1397,1225,1051,92,74,1069,924,742,725,616,2143.48333333333,45,54.4207690423708,62.1978244135325,52.0927773328461,361,114.290601746379,53.7570340946706,45.4587159530048,39.1045727748447,227,84.5632887278495,53.8224956063269,34.2899797059304,29.4194029966799,174,55.421686746988,2.57524745546579,2.07139469243988,18,53.6377320622178,29.9232557597058,25.8644418353303,145,55.7876975950361,54.639175257732,100.469290665838,52.2803648583773,75.4310344827586,55.1305130513051,7.51020408163265,5.66502463054187,92.9590865842055,399,346,598,464
"2","L.A","20142015",142,133,-9,1294,1109,1071,1050,2124,1768,1599,1369,1093,949,81,71,986,878,731,780,610,2136.49166666667,45,54.5734840698869,59.6491912364117,49.6514925169378,356,109.30068375335,53.8746630727763,44.9053939675246,38.4462065925836,230,83.3516005601083,53.5259549461312,30.6951817426544,26.651168777474,144,53.2894736842105,2.27475729291401,1.99392305922092,10,52.8969957081545,27.6902554421384,24.6572457182531,108,52.3475011603915,54.5115585384042,99.9292364380284,50.4950495049505,68.3552220137586,51.4595103578154,7.41079597438243,5.0656660412758,92.5184404636459,506,420,525,399
"3","T.B","20142015",133,134,1,890,948,1010,999,2083,1749,1559,1274,1133,927,105,78,1122,887,675,808,526,2211.61666666667,47,54.3580375782881,56.510697302878,47.4494525121141,334,103.960149814992,55.030003529827,42.2948521820388,34.5629516869258,285,76.8578038689646,55,30.7376956525016,25.1490237156831,206,57.3770491803279,2.84859491925213,2.11609908287301,27,55.8486809357889,30.4392714228656,24.0638446988251,235,54.5031161216908,56.203164029975,100.853192115328,50.2737680438029,72.674791533034,54.3927028324532,9.26743159752868,6.73508659397049,91.5857605177994,426,347,524,475
"4","DET","20142015",117,144,27,784,943,1130,933,1877,1574,1385,1229,1021,916,74,67,909,782,738,737,588,2140.1,46,54.3900318748189,52.6237091724686,44.1287790290173,303,96.7524882014859,52.9839326702372,38.8299612167656,34.4563338161768,156,73.2862950329424,52.7103768714507,28.6248306153918,25.6810429419186,105,52.4822695035461,2.07466940797159,1.87841689640671,7,53.7551744529864,25.4847904303537,21.9242091491052,127,47.4089995794589,55.6561085972851,99.9333857978093,54.7746000969462,73.7184115523466,54.3953116675546,7.24779627815867,5.34296028880866,92.6855895196507,364,313,492,345
"5","NYI","20142015",117,147,30,1270,1009,1018,1062,2192,1899,1612,1309,1136,938,96,84,1126,951,690,780,610,2196.68333333333,46,53.5810315326326,59.8720798779979,51.8691056972254,293,111.741185575223,55.1865799383773,44.0300149467758,35.753901715465,303,79.7839166622408,54.7733847637416,31.0285961411522,25.6204429404936,198,53.3333333333333,2.62213488516779,2.29436802452182,12,54.2128069330765,30.7554570906139,25.9755237061934,175,56.7309807968073,53.0769230769231,99.4954803447551,48.9423076923077,70.4714640198511,51.8248175182482,8.45070422535211,5.95533498759305,91.044776119403,476,371,580,590
"6","BOS","20142015",145,96,-49,1062,1129,1158,1024,2100,1887,1539,1443,1096,1056,83,79,1023,915,719,788,675,2268.26666666667,46,52.6711813393529,55.5490242181989,49.9147660474959,213,105.463790265695,51.6096579476861,40.7094991770515,38.170115212791,96,78.8796143898425,50.9293680297398,28.991300258641,27.9332236068657,40,51.2345679012346,2.19550905243358,2.08970138725605,4,52.7863777089783,27.0603103691512,24.2035034093581,108,51.2638137785093,51.5781922525108,100.091932094669,53.070577451879,71.2150747238467,52.1904761904762,7.57299270072993,5.39311241065627,92.5189393939394,443,387,561,444
"7","MIN","20142015",105,137,32,664,831,998,1045,1980,1794,1485,1296,1066,934,84,94,939,842,674,751,618,2067.50833333333,44,52.4642289348172,57.4604697280543,52.062668026328,186,109.523137754382,53.3980582524272,43.0953522960407,37.6104892765446,189,80.7058415725854,53.3,30.9357882475282,27.1050902656579,132,47.1910112359551,2.43771689755382,2.72792129011975,-10,52.7231892195396,27.2501924619409,24.4352098540514,97,51.6854023159923,52.1671826625387,97.8156851244019,48.8497307880568,71.7845117845118,53.8383838383838,7.87992495309568,5.65656565656566,89.9357601713062,419,362,495,498
"8","NSH","20142015",114,122,8,798,807,1046,1146,2040,1878,1504,1367,1100,985,99,59,954,801,728,749,715,2117.79166666667,44,52.0673813169985,57.7960532787692,53.2063666948669,162,111.002419973636,52.3859282479972,42.6104235937592,38.7290219765085,137,81.3394455702678,52.757793764988,31.1645385326696,27.9064276860724,115,62.6582278481013,2.80480846794027,1.67155252129774,40,54.3589743589744,27.0281543274244,22.6934503315167,153,49.7216046589411,50.4504504504505,103.010152284264,47.7189781021898,73.1382978723404,53.921568627451,9,6.58244680851064,94.010152284264,404,382,536,511
"9","FLA","20142015",113,129,16,1026,1064,992,1055,1881,1743,1460,1331,1085,959,79,75,812,738,679,712,656,2044.20833333333,43,51.9039735099338,55.2096369825319,51.1591691975296,138,106.368806180062,52.3109996417055,42.8527751166915,39.0664682741893,129,81.9192433908808,53.0821917808219,31.8460691791851,28.147815984183,126,51.2987012987013,2.31874605083468,2.20134118750127,4,52.3870967741936,23.8331872566805,21.6611972850125,74,45.494384541693,50.8614232209738,99.4604594840055,48.4611626770884,74.3150684931507,57.6820839978735,7.28110599078341,5.41095890410959,92.1793534932221,375,372,421,412
"10","WPG","20142015",175,132,-43,1253,1001,977,1049,1994,1867,1455,1388,1048,995,80,71,1000,894,655,727,644,2160.36666666667,47,51.6446516446516,55.3794880498681,51.8523090216167,127,107.231797071485,51.1783327470981,40.4098069772107,38.5490117418339,67,78.9588187190446,51.2971120900636,29.1061702488775,27.6341978985049,53,52.9801324503311,2.22184505716622,1.97188748823502,9,52.7983104540655,27.7730632145778,24.8291185138325,106,52.6021817284103,50.423402617398,100.4979093943,48.22309970385,72.0274914089347,52.5576730190572,7.63358778625954,5.49828178694158,92.8643216080402,407,393,539,479
"11","ANA","20142015",122,144,22,1204,1156,1173,1044,2085,1966,1571,1448,1077,1000,82,73,960,863,738,781,698,2200.08333333333,46,51.468773142434,56.8614825196015,53.6161509033749,119,110.477633422976,52.037098376946,42.8438316730427,39.4894132798,123,82.3332449528427,51.8536350505537,29.371614711564,27.2716942540055,77,52.9032258064516,2.23627892882845,1.9908336805424,9,52.6604498080088,26.1808264838453,23.5354721412068,97,49.7162986250521,51.3927576601671,100.31374187558,52.9093369418133,68.5550604710375,51.6546762589928,7.61374187558032,5.21960534691279,92.7,494,448,514,518
"12","CAR","20142015",96,122,26,917,1106,1080,1021,2050,1935,1497,1424,1061,987,64,91,946,973,702,743,656,2189.65833333333,45,51.4429109159348,56.1731472566116,53.0219707031919,115,109.195117959803,51.2495720643615,41.02009826495,39.0197861919097,73,80.0398844568597,51.806640625,29.0730288972024,27.0453152889149,74,41.2903225806452,1.75369825581617,2.49353970748861,-27,49.2965085982282,25.9218523437827,26.6616937954552,-27,52.5835461392379,51.6936671575847,96.8121870843109,51.40409328891,70.875083500334,51.7560975609756,6.0320452403393,4.2752171008684,90.7801418439716,436,437,553,511
"13","PIT","20142015",155,126,-29,1185,1088,926,981,1893,1787,1385,1305,1024,966,86,72,890,866,603,749,555,2064.30833333333,44,51.4402173913044,55.0208504059067,51.9399153065797,106,106.960765712486,51.4869888475836,40.2556142695092,37.9303802322812,80,78.1859945017903,51.4572864321608,29.762995676518,28.0772009995277,58,54.4303797468354,2.49962659002006,2.09271063350517,14,50.6833712984055,25.8682286641611,25.1706584529927,24,51.0388871171538,52.0725388601036,100.945021350932,48.557944415312,73.9350180505415,54.094030639197,8.3984375,6.20938628158845,92.5465838509317,361,339,508,482
"14","WSH","20142015",129,120,-9,1150,1117,1059,1010,1984,1883,1433,1357,1020,971,86,77,987,870,688,776,605,2154.49166666667,45,51.3059219032842,55.252012268942,52.4392838217832,101,107.691296090725,51.3620071684588,39.9073253938477,37.790816859352,76,77.6981422531997,51.2305374183827,28.4057724366537,27.041181407834,49,52.760736196319,2.39499649956099,2.14435733100229,9,53.1502423263328,27.4867621519384,24.2284529606752,117,51.7152151126136,53.2095901005414,100.501403445003,51.1841469308845,71.1793440334962,51.4112903225806,8.43137254901961,6.00139567341242,92.0700308959835,413,386,551,526
