"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","TOI"
"1","L.A",6,"20142015",20,7,13,58.7,115.1,70.8,11,94.4,49.8,105.4,55.9,58.1,43,154,111,31.3,22.5,53.8,58.7,99,333,234,67.6,47.5,115.1,59.8,84,52.2,35.1,257,173,87.3,75,48,76,61,59.3,57,37,25.4,182,125,4.1,1.4,74.1,11,7.8,94.4,54.7,70.8,49.8,135,136,99,94,78,188,175,13,15,295.5
"2","WPG",6,"20142015",8,9,-1,57.8,98.1,73.5,5.8,92,52.3,97.7,52.8,53.5,14,108,94,23.8,20.7,44.6,57.8,69,257,188,56.7,41.5,98.1,55.6,38,41.7,33.3,189,151,75,50,39,68,37,55.4,27,30.7,24.7,139,112,1.8,2,47.1,5.8,4.2,92,54.1,73.5,52.3,150,137,104,90,93,152,125,20,24,272
"3","CAR",6,"20142015",8,16,-8,55.3,115.3,70.3,4.9,87.4,55.6,92.3,61.8,51.9,11,152,141,30.8,28.6,59.5,55.3,60,314,254,63.7,51.6,115.3,54.8,41,47.1,38.8,232,191,85.9,69,64,82,63,56.2,36,33.1,25.8,163,127,1.6,3.2,33.3,4.9,3.4,87.4,51.9,70.3,55.6,143,114,94,105,58,118,145,13,11,295.6
"4","OTT",6,"20142015",18,12,6,55,108.3,73.9,10.6,92.5,53.2,103.1,55.1,59.1,51,165,114,32.6,22.5,55,55,55,302,247,59.6,48.7,108.3,53.4,29,45.4,39.7,230,201,85,60,41,72,46,51.5,10,33.5,31.6,170,160,3.6,2.4,60,10.6,7.8,92.5,56.3,73.9,53.2,151,133,97,108,79,182,154,14,13,304.1
"5","CHI",7,"20142015",8,15,-7,53.6,113.9,74.5,4.4,91.6,50.9,96,56.6,52.1,12,151,139,25.9,23.9,49.8,53.6,48,356,308,61.1,52.9,113.9,51.8,17,41.7,38.8,243,226,80.5,62,48,113,82,50.4,3,31.1,30.5,181,178,1.4,2.6,34.8,4.4,3.3,91.6,50.8,74.5,50.9,177,171,133,113,102,118,181,14,21,349.6
"6","PHI",7,"20142015",11,13,-2,53.6,107.7,70.1,6.5,91.7,53.6,98.2,58.7,54.6,27,160,133,27.2,22.6,49.8,53.6,46,340,294,57.8,49.9,107.7,52.2,20,40.9,37.5,241,221,78.5,72,65,99,73,52,13,28.7,26.5,169,156,1.9,2.2,45.8,6.5,4.6,91.7,49.7,70.1,53.6,173,150,125,110,88,222,232,11,14,353.2
"7","BOS",6,"20142015",13,12,1,53.6,105.2,73.1,9,89.9,49.6,98.9,51.7,54.5,21,126,105,26.1,21.8,47.9,53.6,37,272,235,56.4,48.8,105.2,53.8,28,40.9,35.1,197,169,76,53,50,75,66,54.8,25,29.9,24.7,144,119,2.7,2.5,52,9,6.6,89.9,52.9,73.1,49.6,129,131,92,82,86,127,123,16,17,289.1
"8","NYR",7,"20142015",29,18,11,52.3,115.9,74.5,14.4,90.3,47.6,104.6,53.9,48.7,-9,167,176,28.6,30.1,58.7,52.3,31,354,323,60.6,55.3,115.9,51.1,12,46.4,44.3,271,259,90.7,69,74,83,64,52.2,17,34.6,31.7,202,185,5,3.1,61.7,14.4,10.7,90.3,57.1,74.5,47.6,168,185,123,125,105,170,176,13,17,350.4
"9","NYI",8,"20142015",24,17,7,51.8,127.9,73.6,10.1,91.9,52.7,102,48.5,54.5,41,249,208,38.3,32,70.3,51.8,30,431,401,66.3,61.7,127.9,53.3,40,49.5,43.4,322,282,92.9,85,72,109,119,53,27,36.4,32.3,237,210,3.7,2.6,58.5,10.1,7.5,91.9,55,73.6,52.7,196,176,116,133,123,306,240,17,16,390.2
"10","STL",6,"20142015",12,10,2,52.6,96.9,76.3,7.9,92.2,49.3,100.1,48.7,58.8,36,120,84,23.8,16.7,40.4,52.6,25,257,232,51,46,96.9,53.1,23,39.3,34.7,198,175,74,47,47,59,57,54.1,23,29.9,25.4,151,128,2.4,2,54.5,7.9,6.1,92.2,58.8,76.3,49.3,139,143,93,91,98,133,144,17,11,302.6
"11","MTL",7,"20142015",9,9,0,52,112,75.8,4.9,94.5,47.4,99.4,43.7,50.7,4,139,135,24.4,23.7,48,52,25,332,307,58.2,53.8,112,53.4,31,42.8,37.3,244,213,80.1,59,49,88,94,53,21,32.4,28.7,185,164,1.6,1.6,50,4.9,3.7,94.5,55.7,75.8,47.4,153,170,90,117,116,138,224,15,14,342.3
"12","DET",5,"20142015",8,13,-5,52,101.9,70.3,6.9,88.6,52.1,95.5,55.3,50,0,101,101,23.8,23.8,47.5,52,17,225,208,52.9,48.9,101.9,51.1,7,38.8,37.2,165,158,76,49,44,60,50,50.4,2,27.3,26.8,116,114,1.9,3.1,38.1,6.9,4.8,88.6,51.6,70.3,52.1,126,116,78,101,63,95,118,12,10,255.1
"13","ANA",6,"20142015",13,14,-1,51.5,111,66.5,9.6,89.8,50.4,99.4,46.5,49.4,-3,120,123,24.2,24.8,49.1,51.5,16,283,267,57.1,53.9,111,51.1,9,41,39.2,203,194,80.1,68,57,80,73,49.6,-2,27.3,27.7,135,137,2.6,2.8,48.1,9.6,6.4,89.8,47.7,66.5,50.4,140,138,79,108,91,161,165,19,9,297.2
"14","NSH",7,"20142015",14,10,4,50.9,114.9,76.3,8,94.4,53.1,102.4,45.9,50.5,3,164,161,29.6,29,58.6,50.9,11,324,313,58.4,56.5,114.9,49,-9,41.1,42.8,228,237,83.9,54,59,96,76,49.4,-4,31.4,32.1,174,178,2.5,1.8,58.3,8,6.1,94.4,53.7,76.3,53.1,178,157,106,104,125,138,169,20,16,332.6
"15","ARI",6,"20142015",8,16,-8,50.9,111.5,68.1,5.4,89.9,50.7,95.4,50.5,48.3,-9,125,134,24.4,26.1,50.5,50.9,10,291,281,56.7,54.8,111.5,50.2,2,42.1,41.7,216,214,83.8,69,55,75,67,48,-12,28.6,31,147,159,1.6,3.1,33.3,5.4,3.7,89.9,50.5,68.1,50.7,151,147,97,106,95,184,169,12,9,307.9
"16","T.B",7,"20142015",17,18,-1,50.3,110,70.3,9.8,89.5,41.6,99.4,51.2,46.3,-24,151,175,25.6,29.7,55.3,50.3,4,326,322,55.3,54.6,110,49.6,-4,41.8,42.4,246,250,84.2,73,78,80,72,50.1,1,29.4,29.2,173,172,2.9,3.1,48.6,9.8,6.9,89.5,53.1,70.3,41.6,136,191,108,116,103,170,169,12,18,353.5
"17","TOR",6,"20142015",9,10,-1,49.4,113.5,74.1,6.3,93.1,50.2,99.4,48.7,46.1,-20,117,137,25,29.2,54.2,49.4,-6,263,269,56.1,57.4,113.5,49.6,-3,41.2,41.8,193,196,83,50,51,70,73,49.7,-2,30.5,30.9,143,145,1.9,2.1,47.4,6.3,4.7,93.1,54.4,74.1,50.2,143,142,95,90,100,194,180,22,16,281.2
"18","PIT",7,"20142015",18,8,10,48.9,97.1,76.8,11.3,95.1,47,106.4,47.7,47.3,-14,124,138,21.4,23.8,45.1,48.9,-12,276,288,47.5,49.6,97.1,48.1,-16,35.6,38.4,207,223,74,48,61,69,65,49.5,-3,27.4,27.9,159,162,3.1,1.4,69.2,11.3,8.7,95.1,57.6,76.8,47,150,169,95,120,104,224,187,20,18,348.4
"19","COL",6,"20142015",19,14,5,48.6,107.9,73.7,12.6,88.6,60.5,101.2,47.9,56,30,141,111,28.6,22.5,51,48.6,-15,259,274,52.5,55.5,107.9,54.4,33,41.5,34.8,205,172,76.4,54,49,54,102,55.1,28,30.6,24.9,151,123,3.8,2.8,57.6,12.6,9.3,88.6,58.3,73.7,60.5,184,120,90,116,98,136,114,12,16,296.3
"20","VAN",8,"20142015",19,17,2,48.7,104.1,70.8,10.4,91,45.1,101.4,46.9,47.2,-19,163,182,24.8,27.7,52.5,48.7,-18,333,351,50.7,53.4,104.1,50,0,39.1,39.1,257,257,78.2,75,68,76,94,49.1,-7,27.7,28.8,182,189,2.9,2.6,52.8,10.4,7.4,91,54.7,70.8,45.1,156,190,106,120,120,133,143,28,11,394.4
"21","DAL",7,"20142015",13,19,-6,48.6,114.4,65.9,8.6,89.6,50.3,98.2,48.3,50,0,144,144,25.5,25.5,51,48.6,-18,314,332,55.6,58.8,114.4,48,-19,40.6,43.9,229,248,84.5,78,66,85,84,45.3,-31,26.7,32.2,151,182,2.3,3.4,40.6,8.6,5.7,89.6,48.1,65.9,50.3,196,194,116,150,124,122,133,17,17,338.8
