"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","PenD","TOI"
"1","DAL",7,"20142015",14,12,2,56.3,114.2,68.6,7.9,90.6,53.3,98.5,52.7,55.9,38,181,143,33.2,26.2,59.4,56.3,79,351,272,64.3,49.8,114.2,57.1,64,47.3,35.6,258,194,82.8,81,66,93,78,58,49,32.4,23.5,177,128,2.6,2.2,53.8,7.9,5.4,90.6,50.4,68.6,53.3,162,142,97,120,87,167,181,19,21,2,327.4
"2","PIT",7,"20142015",11,11,0,55.8,109.6,66,6.9,92.5,51.9,99.4,56.9,53.7,22,160,138,29.6,25.5,55.1,55.8,69,331,262,61.2,48.4,109.6,55.7,49,44.5,35.5,241,192,80,82,46,90,70,52.1,13,29.4,27,159,146,2,2,50,6.9,4.6,92.5,48,66,51.9,164,152,116,112,88,212,172,24,19,-5,324.7
"3","ANA",7,"20142015",12,12,0,55.3,103.2,69,7.2,91.7,49.6,98.9,52.6,55.2,27,143,116,25.4,20.6,45.9,55.3,62,322,260,57.1,46.1,103.2,55,44,42.9,35.1,242,198,78,75,54,80,62,53.7,23,29.6,25.5,167,144,2.1,2.1,50,7.2,5,91.7,51.9,69,49.6,169,172,112,128,101,155,154,17,20,3,338.2
"4","CAR",7,"20142015",12,14,-2,54.7,107.3,69.7,7.4,89.8,57.3,97.1,58.4,55.7,35,171,136,30.1,24,54.1,54.7,57,333,276,58.7,48.6,107.3,54,35,41.2,35.1,234,199,76.3,71,62,99,77,54.3,26,28.7,24.1,163,137,2.1,2.5,46.2,7.4,5.1,89.8,48.9,69.7,57.3,185,138,118,121,84,177,210,13,18,5,340.6
"5","L.A",6,"20142015",11,7,4,55.6,96.2,71.3,8.5,93.1,51.8,101.7,53.2,54.8,22,126,104,26,21.5,47.5,55.6,52,259,207,53.5,42.7,96.2,54.7,31,37.4,31,181,150,68.3,52,48,78,57,55.8,27,26.6,21.1,129,102,2.3,1.4,61.1,8.5,6.1,93.1,49.8,71.3,51.8,132,123,82,101,72,161,157,17,15,-2,290.6
"6","OTT",8,"20142015",19,11,8,53.1,116.5,74,9.4,94.2,48.9,103.6,53.3,55.3,38,198,160,30.8,24.9,55.7,53.1,47,398,351,61.9,54.6,116.5,52,21,42.5,39.2,273,252,81.7,71,62,125,99,51.5,12,31.4,29.6,202,190,3,1.7,63.3,9.4,7,94.2,50.8,74,48.9,193,202,139,134,122,177,207,22,19,-3,385.8
"7","STL",6,"20142015",10,8,2,54.4,108.5,72.4,6.9,92.4,53.1,99.3,53.6,55.2,24,128,104,28,22.7,50.7,54.4,44,270,226,59.1,49.4,108.5,55.9,42,43.5,34.3,199,157,77.9,55,52,71,69,57.8,39,31.5,23,144,105,2.2,1.7,55.6,6.9,5,92.4,53.3,72.4,53.1,146,129,97,94,84,141,166,23,20,-3,274.3
"8","WSH",6,"20142015",9,9,0,53.8,109.2,69.2,5.9,93.4,52.5,99.3,55.1,53.7,19,138,119,27.9,24.1,52,53.8,41,290,249,58.7,50.4,109.2,55.5,44,44.8,35.8,221,177,80.6,68,41,69,72,52.9,17,31,27.5,153,136,1.8,1.8,50,5.9,4.1,93.4,52.8,69.2,52.5,158,143,103,114,84,162,136,24,16,-8,296.3
"9","T.B",6,"20142015",10,6,4,53.7,105.1,79.8,6.5,95.3,48.9,101.8,56.7,52.5,14,149,135,30.1,27.3,57.4,53.7,38,279,241,56.4,48.7,105.1,51.7,13,39,36.4,193,180,75.4,39,51,86,61,54.4,25,31.1,26.1,154,129,2,1.2,62.5,6.5,5.2,95.3,55.2,79.8,48.9,132,138,97,99,74,132,137,12,16,4,296.9
"10","NSH",8,"20142015",9,12,-3,52.6,111.6,68.8,4.6,93.1,51.2,97.8,54,53.9,26,181,155,27.8,23.8,51.7,52.6,38,382,344,58.7,52.9,111.6,52.2,24,43.4,39.7,282,258,83,88,83,100,86,52.6,19,29.8,26.9,194,175,1.4,1.8,42.9,4.6,3.2,93.1,50.8,68.8,51.2,199,190,141,128,120,190,177,19,21,2,390.2
