"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","TOI"
"1","L.A",58,"20142015",112,92,20,54.8,108.4,69.2,7.8,92.4,50.8,100.2,54.3,52.9,138,1263,1125,27.3,24.3,51.7,54.8,483,2746,2263,59.4,49,108.4,54.4,339,45,37.6,2078,1739,82.6,639,527,668,524,54.3,227,31.1,26.2,1439,1212,2.4,2,54.9,7.8,5.4,92.4,52.4,69.2,50.8,1375,1332,934,986,787,1732,1477,171,165,2773.4
"2","CHI",60,"20142015",115,102,13,54,112.7,74.9,7.2,92.8,51.8,100,54.7,53.4,178,1404,1226,29,25.4,54.4,54,437,2943,2506,60.9,51.8,112.7,53.2,255,44.2,38.9,2137,1882,83.1,536,463,806,624,53,182,33.1,29.4,1601,1419,2.4,2.1,53,7.2,5.4,92.8,54.4,74.9,51.8,1451,1349,1004,965,831,886,1514,151,169,2900.1
"3","NYI",61,"20142015",133,116,17,53.4,114.3,71.1,8.3,91.3,49.5,99.6,52.4,54.4,262,1610,1348,32.3,27.1,59.4,53.4,389,3038,2649,61,53.2,114.3,55,408,45.1,36.9,2245,1837,82,648,508,793,812,54.6,268,32.1,26.7,1597,1329,2.7,2.3,53.4,8.3,5.9,91.3,52.6,71.1,49.5,1397,1424,935,1037,849,1883,1492,151,180,2986.4
"4","T.B",62,"20142015",142,111,31,53.7,105.6,72.6,9.5,91.2,49,100.7,55.1,54.6,249,1475,1226,30.3,25.2,55.4,53.7,384,2765,2381,56.7,48.8,105.6,53.8,293,42.4,36.4,2065,1772,78.7,566,512,700,609,54.3,239,30.8,25.8,1499,1260,2.9,2.3,56.1,9.5,6.9,91.2,54.2,72.6,49,1312,1366,895,1054,729,1193,1249,171,175,2924.8
"5","DET",57,"20142015",93,86,7,53.8,97,72.9,7.4,92.6,53.7,100,55.4,53.6,152,1135,983,25.4,22,47.3,53.8,329,2333,2004,52.2,44.8,97,52.5,163,38.4,34.8,1718,1555,73.2,465,399,615,449,52,97,28,25.8,1253,1156,2.1,1.9,52,7.4,5.4,92.6,53.7,72.9,53.7,1389,1200,909,947,733,978,1209,151,169,2683.9
"6","WPG",61,"20142015",104,93,11,52.8,106.2,71.5,7.6,92.7,49,100.3,50.7,52.8,140,1299,1159,27.7,24.8,52.5,52.8,277,2626,2349,56.1,50.2,106.2,52.1,153,40.8,37.6,1912,1759,78.4,544,490,714,590,51.9,99,29.2,27.1,1368,1269,2.2,2,52.8,7.6,5.4,92.7,52.1,71.5,49,1314,1369,876,955,852,1663,1322,227,176,2809.5
"7","NSH",60,"20142015",127,86,41,52.5,111.1,73.1,8.4,93.6,48.2,102,50.5,53.7,179,1304,1125,27.2,23.4,50.6,52.5,266,2801,2535,58.3,52.8,111.1,52.6,204,43,38.7,2064,1860,81.7,556,511,737,675,52.8,159,31.4,28.1,1508,1349,2.6,1.8,59.6,8.4,6.2,93.6,53.8,73.1,48.2,1436,1541,990,1016,971,1148,1142,157,156,2880.7
"8","BOS",59,"20142015",109,101,8,52.1,107.3,71.6,7.7,92.6,53.1,100.3,51.2,51.8,91,1317,1226,27.2,25.3,52.6,52.1,223,2706,2483,55.9,51.3,107.3,51.5,117,41.1,38.7,1987,1870,79.7,565,505,719,613,51,57,29.4,28.2,1422,1365,2.3,2.1,51.9,7.7,5.5,92.6,52.5,71.6,53.1,1476,1305,920,983,878,1370,1459,180,126,2902.2
"9","PIT",60,"20142015",115,95,20,51.9,104.6,74,8.2,92.7,47.9,100.9,52.4,51,46,1220,1174,25.7,24.8,50.5,51.9,191,2574,2383,54.3,50.3,104.6,51.8,128,39.8,37.1,1887,1759,76.9,491,464,687,624,51.9,101,29.5,27.3,1396,1295,2.4,2,54.8,8.2,6.1,92.7,54.2,74,47.9,1249,1361,835,1017,758,1675,1528,195,172,2843.7
"10","MIN",59,"20142015",118,114,4,51.7,107.8,71.6,8.4,90.9,49.2,99.2,51.2,52.9,136,1256,1120,26.7,23.9,50.6,51.7,171,2616,2445,55.7,52.1,107.8,52.8,208,41.8,37.4,1965,1757,79.3,559,511,651,688,53,160,29.9,26.5,1406,1246,2.5,2.4,50.9,8.4,6,90.9,53.7,71.6,49.2,1365,1412,895,1028,854,863,1068,134,171,2817.2
