Rk,Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO
1,Anaheim Ducks,71,44,20,7,95,.669,208,195,0.18,-0.01,5.68,36,214,16.82,45,241,81.33,9,5,2112,9.5,2061,.911,100.4
2,New York Rangers,68,44,17,7,95,.699,207,158,0.66,-0.06,5.37,34,194,17.53,33,201,83.58,8,6,2150,9.5,1993,.925,102.0
3,Montreal Canadiens,69,43,19,7,93,.674,182,153,0.38,-0.04,4.86,32,199,16.08,33,216,84.72,5,3,1954,9.0,2096,.931,101.9
4,Nashville Predators,71,43,21,7,93,.655,203,173,0.43,0.01,5.30,37,225,16.44,41,210,80.48,4,3,2263,8.7,2021,.922,100.6
5,St. Louis Blues,69,44,20,5,93,.674,214,170,0.61,-0.03,5.57,48,213,22.54,38,219,82.65,2,5,2158,9.5,1886,.913,100.8
6,Tampa Bay Lightning,70,42,21,7,91,.650,226,182,0.56,-0.07,5.83,43,241,17.84,36,216,83.33,7,5,2073,10.8,1924,.911,101.7
7,New York Islanders,71,43,24,4,90,.634,221,199,0.32,0.01,5.92,44,240,18.33,45,196,77.04,8,2,2397,8.9,1977,.905,99.2
8,Chicago Blackhawks,68,41,21,6,88,.647,198,157,0.61,0.01,5.22,43,233,18.45,25,178,85.96,3,5,2328,8.1,2021,.927,100.6
9,Pittsburgh Penguins,69,39,20,10,88,.638,196,173,0.37,0.04,5.35,43,219,19.63,36,241,85.06,6,8,2144,9.0,2017,.920,100.8
10,Detroit Red Wings,68,38,19,11,87,.640,200,183,0.20,-0.05,5.63,62,245,25.31,45,237,81.01,2,7,2034,9.7,1919,.914,100.8
11,Washington Capitals,70,37,23,10,84,.600,205,172,0.42,-0.05,5.39,52,208,25.00,43,230,81.30,3,2,2087,9.7,2018,.918,101.5
12,Minnesota Wild,69,38,24,7,83,.601,196,173,0.30,-0.03,5.35,32,215,14.88,26,195,86.67,4,3,2157,8.9,1873,.912,99.9
13,Vancouver Canucks,68,39,25,4,82,.603,193,184,0.11,-0.02,5.54,35,202,17.33,32,228,85.96,4,2,1986,9.5,1985,.914,100.5
14,Boston Bruins,69,36,23,10,82,.594,184,175,0.12,-0.01,5.20,31,178,17.42,39,213,81.69,8,2,2117,8.5,2071,.922,100.6
15,Calgary Flames,69,38,26,5,81,.587,205,181,0.30,-0.05,5.59,42,223,18.83,32,160,80.00,6,3,1892,10.6,1996,.915,101.8
16,Winnipeg Jets,69,34,23,12,80,.580,191,186,0.09,0.01,5.46,41,228,17.98,52,273,80.95,8,5,2053,9.0,1949,.912,99.9
17,Los Angeles Kings,68,33,22,13,79,.581,185,172,0.17,-0.02,5.25,41,218,18.81,39,208,81.25,6,1,2082,8.8,1826,.913,99.9
18,Ottawa Senators,68,33,24,11,77,.566,194,180,0.16,-0.04,5.50,38,229,16.59,38,224,83.04,4,7,2086,9.1,2199,.923,101.3
19,Florida Panthers,69,31,24,14,76,.551,170,192,-0.36,-0.04,5.25,33,209,15.79,42,212,80.19,0,5,2117,7.7,2056,.915,99.0
20,San Jose Sharks,69,34,27,8,76,.551,193,193,0.00,0.00,5.59,47,213,22.07,39,192,79.69,4,5,2134,8.9,2060,.914,99.9
21,Colorado Avalanche,69,32,26,11,75,.543,184,193,-0.03,0.10,5.46,30,217,13.82,34,217,84.33,3,2,1951,9.0,2265,.921,100.8
22,Dallas Stars,70,32,28,10,74,.529,218,229,-0.10,0.05,6.39,45,248,18.15,43,221,80.54,9,7,2191,9.8,2103,.897,99.2
23,Philadelphia Flyers,71,29,27,15,73,.514,186,202,-0.23,-0.01,5.46,51,225,22.67,53,229,76.86,3,6,2112,8.7,2112,.912,99.8
24,New Jersey Devils,69,29,29,11,69,.500,158,179,-0.29,0.01,4.88,37,189,19.58,43,226,80.97,5,7,1678,9.2,2105,.924,101.2
25,Columbus Blue Jackets,69,30,35,4,64,.464,180,218,-0.52,0.03,5.77,47,218,21.56,54,254,78.74,4,4,1969,8.8,2255,.910,99.4
26,Toronto Maple Leafs,70,27,37,6,60,.429,187,222,-0.47,0.04,5.84,42,245,17.14,42,224,81.25,7,12,2045,8.9,2305,.909,99.5
27,Carolina Hurricanes,68,26,34,8,60,.441,161,187,-0.37,0.02,5.12,41,209,19.62,25,170,85.29,2,4,2063,7.6,1852,.907,97.9
28,Arizona Coyotes,69,21,40,8,50,.362,145,230,-1.17,0.06,5.43,41,197,20.81,51,232,78.02,3,6,2030,6.9,2230,.903,96.9
29,Edmonton Oilers,69,18,39,12,48,.348,160,238,-1.09,0.04,5.77,36,200,18.00,42,186,77.42,4,7,1929,8.0,2057,.892,96.9
30,Buffalo Sabres,68,19,43,6,44,.324,129,230,-1.39,0.09,5.28,20,184,10.87,58,229,74.67,6,8,1569,7.8,2398,.910,98.6
