"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","PenD","TOI"
"1","L.A",68,"20142015",127,106,21,54.9,106.9,68.9,7.7,92.4,51.1,100.1,54.3,52.9,160,1464,1304,26.9,24,50.9,54.9,565,3186,2621,58.6,48.2,106.9,54.4,386,44.1,37,2395,2009,81,744,609,791,612,54.1,251,30.4,25.8,1651,1400,2.3,2,54.5,7.7,5.3,92.4,51.8,68.9,51.1,1611,1544,1090,1149,916,2006,1775,196,190,-6,3260.5
"2","CHI",68,"20142015",126,111,15,53.7,112.7,75.2,7,93.2,52,100.2,54.6,52.7,165,1585,1420,28.9,25.9,54.8,53.7,463,3320,2857,60.6,52.1,112.7,52.8,253,43.8,39.2,2399,2146,82.9,595,519,921,711,52.6,177,32.9,29.7,1804,1627,2.3,2,53.2,7,5.3,93.2,54.3,75.2,52,1654,1527,1136,1099,946,1022,1754,169,190,21,3287.8
"3","T.B",70,"20142015",157,120,37,53.7,105.6,73,9.2,91.6,49,100.8,54.9,54.4,273,1671,1398,30.3,25.3,55.6,53.7,432,3128,2696,56.7,48.9,105.6,53.7,322,42.1,36.3,2325,2003,78.4,627,580,803,693,54.4,275,30.8,25.8,1698,1423,2.8,2.2,56.7,9.2,6.8,91.6,54.3,73,49,1489,1552,1018,1186,837,1377,1425,187,198,11,3310.5
"4","NYI",71,"20142015",151,136,15,53.1,115.6,71.7,8.1,91.3,49.7,99.4,52.9,53.8,264,1867,1603,32.4,27.8,60.1,53.1,410,3540,3130,61.4,54.3,115.6,54.5,431,45.1,37.6,2601,2170,82.7,737,610,939,960,54.4,304,32.3,27,1864,1560,2.6,2.4,52.6,8.1,5.8,91.3,52.7,71.7,49.7,1640,1661,1106,1210,985,2191,1739,179,207,28,3461.4
"5","DET",68,"20142015",109,104,5,53.7,98.6,73,7.2,92.6,53.4,99.8,55.8,53.3,169,1360,1191,25.7,22.5,48.1,53.7,382,2805,2423,52.9,45.7,98.6,52.2,176,38.9,35.6,2062,1886,74.5,557,484,743,537,51.8,103,28.4,26.5,1505,1402,2.1,2,51.2,7.2,5.3,92.6,53.7,73,53.4,1637,1431,1093,1110,865,1185,1488,188,206,18,3180
"6","NSH",71,"20142015",144,104,40,52.7,111,72.6,8.1,93.4,48.6,101.5,51.1,53.9,225,1554,1329,27.3,23.4,50.7,52.7,337,3325,2988,58.4,52.5,111,52.8,262,43.2,38.6,2459,2197,81.8,674,615,866,791,53,203,31.4,27.8,1785,1582,2.5,1.8,58.1,8.1,5.9,93.4,53.7,72.6,48.6,1713,1809,1185,1201,1136,1394,1363,183,187,4,3413.6
"7","WPG",69,"20142015",117,108,9,52.7,104.9,71.4,7.6,92.3,48.3,99.9,51.2,52.6,147,1463,1316,27.4,24.7,52.1,52.7,304,2951,2647,55.3,49.6,104.9,52.2,180,40.3,37,2153,1973,77.3,616,565,798,674,52.2,129,28.8,26.4,1537,1408,2.2,2,52,7.6,5.4,92.3,52.1,71.4,48.3,1487,1592,1012,1104,963,1874,1490,247,194,-53,3202.1
"8","PIT",69,"20142015",130,109,21,52.5,105.2,73.1,8.1,92.6,48.3,100.7,53.2,51.4,78,1417,1339,26.2,24.7,50.9,52.5,281,2986,2705,55.2,50,105.2,52.3,192,40.4,36.8,2185,1993,77.2,588,521,801,712,52,125,29.5,27.2,1597,1472,2.4,2,54.4,8.1,5.9,92.6,53.5,73.1,48.3,1453,1554,982,1160,865,1926,1747,228,203,-25,3247.1
"9","CAR",68,"20142015",106,138,-32,51.8,110.1,71.5,6.4,90.8,52.4,97.2,52.8,50.3,17,1490,1473,26.9,26.6,53.6,51.8,219,3154,2935,57,53,110.1,51.5,137,41.6,39.1,2301,2164,80.7,656,670,853,771,52.4,151,29.7,27,1645,1494,1.9,2.5,43.4,6.4,4.6,90.8,52.2,71.5,52.4,1639,1491,1047,1147,936,1433,1726,139,181,42,3319.6
"10","STL",69,"20142015",140,112,28,51.8,106.1,71.3,8.4,92.4,53.2,100.8,49.8,52.3,129,1496,1367,27,24.7,51.7,51.8,209,3044,2835,54.9,51.2,106.1,53.1,275,42.2,37.2,2337,2062,79.4,670,585,707,773,53,190,30.1,26.7,1667,1477,2.5,2,55.6,8.4,6,92.4,54.8,71.3,53.2,1754,1546,1074,1144,1082,1407,1594,212,186,-26,3325.3
