"","teamname","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","Games","season","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team"
"8","CHI",192,180,22,30,81,168,382,286,277,213,221,174,21,13,152,106,114,364.866666666667,6,"20142015",57.19,62.82,47.03,96,109.85,56.53,45.55,35.03,64,80.58,55.95,36.34,28.61,47,61.76,3.45,2.14,8,57.14,102.03,51.61,79.78,57.85,9.5,7.58,92.53,56,39,105,73
"1","ANA",207,191,19,18,199,199,430,351,320,272,215,187,14,19,119,143,136,379.383333333333,6,"20142015",55.06,68.01,55.51,79,123.52,54.05,50.61,43.02,48,93.63,53.48,34,29.57,28,42.42,2.21,3,-5,46.67,96.35,52.01,67.19,50,6.51,4.38,89.84,105,85,110,79
"24","S.J",209,229,27,22,173,166,445,377,312,293,216,232,15,18,148,127,163,419.7,7,"20142015",54.14,63.62,53.9,68,117.51,51.57,44.6,41.89,19,86.49,48.21,30.88,33.17,-16,45.45,2.14,2.57,-3,47.59,99.19,47.72,69.23,48.54,6.94,4.81,92.24,96,61,133,84
"5","CAR",249,208,18,27,157,209,461,394,334,284,232,194,16,16,185,126,146,428.933333333333,7,"20142015",53.92,64.49,55.11,67,119.6,54.05,46.72,39.73,50,86.45,54.46,32.45,27.14,38,50,2.24,2.24,0,55.89,98.65,54.49,69.46,50.33,6.9,4.79,91.75,102,90,127,110
"15","MIN",216,201,33,32,117,153,393,332,288,240,212,174,15,21,144,132,141,420.783333333333,7,"20142015",54.21,56.04,47.34,61,103.38,54.55,41.07,34.22,48,75.29,54.92,30.23,24.81,38,41.67,2.14,2.99,-6,50.53,95.01,51.8,73.61,53.94,7.08,5.21,87.93,76,66,105,92
"12","EDM",251,229,21,29,134,142,429,368,325,270,241,202,15,21,178,145,157,422.5,7,"20142015",53.83,60.92,52.26,61,113.18,54.62,46.15,38.34,55,84.5,54.4,34.22,28.69,39,41.67,2.13,2.98,-6,53.13,95.83,52.29,74.15,56.18,6.22,4.62,89.6,84,68,104,98
"18","NSH",196,213,13,25,101,114,351,302,257,232,181,162,14,13,163,114,132,359.75,6,"20142015",53.75,58.54,50.37,49,108.91,52.56,42.86,38.69,25,81.56,52.77,30.19,27.02,19,51.85,2.33,2.17,1,55.25,99.71,47.92,70.43,51.57,7.73,5.45,91.98,76,70,94,70
"19","NYI",167,204,25,25,205,152,374,327,286,237,202,168,16,11,133,121,117,372.183333333333,6,"20142015",53.35,60.29,52.72,47,113.01,54.68,46.11,38.21,49,84.31,54.59,32.56,27.08,34,59.26,2.58,1.77,5,53.2,101.37,45.01,70.63,54.01,7.92,5.59,93.45,84,69,88,90
"29","WPG",210,241,43,38,207,169,428,392,303,290,213,203,14,15,160,141,150,430.75,7,"20142015",52.2,59.62,54.6,36,114.22,51.1,42.21,40.39,13,82.6,51.2,29.67,28.28,10,48.28,1.95,2.09,-1,51.61,99.18,46.56,70.3,49.77,6.57,4.62,92.61,90,87,125,102
"23","PIT",174,176,42,35,170,164,372,342,290,259,207,189,17,13,122,111,117,369.766666666667,6,"20142015",52.1,60.36,55.49,30,115.86,52.82,47.06,42.03,31,89.08,52.27,33.59,30.67,18,56.67,2.76,2.11,4,51.05,101.33,49.71,71.38,55.65,8.21,5.86,93.12,83,70,82,83
"11","DET",192,166,27,28,117,96,316,286,244,211,176,154,16,17,137,108,113,366.708333333333,6,"20142015",52.49,51.7,46.79,30,98.5,53.63,39.92,34.52,33,74.45,53.33,28.8,25.2,22,48.48,2.62,2.78,-1,54.8,98.05,53.63,72.13,55.7,9.09,6.56,88.96,68,57,72,75
