"","teamname","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","Games","season","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team"
"8","CHI",392,350,42,56,215,310,842,601,608,462,460,329,27,23,317,220,205,737.691666666667,12,"20142015",58.35,68.48,48.88,241,117.37,56.82,49.45,37.58,146,87.03,58.3,37.41,26.76,131,54,2.2,1.87,4,60.73,98.88,52.83,75.66,54.63,5.87,4.44,93.01,148,133,234,139
"15","MIN",288,308,34,41,137,221,607,477,483,339,350,229,34,18,216,198,182,604.833333333333,10,"20142015",56,60.21,47.32,130,107.53,58.76,47.91,33.63,144,81.54,60.45,34.72,22.72,121,65.38,3.37,1.79,16,54.27,101.85,48.32,72.46,57.66,9.71,7.04,92.14,133,110,124,138
"3","BOS",432,375,52,46,268,322,770,646,560,477,404,364,35,32,293,238,276,786.066666666667,13,"20142015",54.38,58.77,49.31,124,108.08,54,42.74,36.41,83,79.15,52.6,30.84,27.78,40,52.24,2.67,2.44,3,51.49,99.87,53.53,72.14,52.47,8.66,6.25,91.21,156,113,210,169
"25","STL",347,307,48,48,206,235,598,482,445,356,319,245,24,19,228,192,234,611.225,10,"20142015",55.37,58.7,47.31,116,106.02,55.56,43.68,34.95,89,78.63,56.56,31.31,24.05,74,55.81,2.36,1.87,5,49.35,99.77,53.06,71.69,53.34,7.52,5.39,92.24,126,111,153,126
"30","WSH",317,334,52,53,290,265,632,556,469,395,334,280,34,31,230,230,191,674.725,11,"20142015",53.2,56.2,49.44,76,105.64,54.28,41.71,35.13,74,76.83,54.4,29.7,24.9,54,52.31,3.02,2.76,3,54.63,99.11,48.69,71.22,52.85,10.18,7.25,88.93,135,115,163,161
"11","DET",341,321,47,53,211,257,599,525,438,399,331,292,29,22,242,226,194,679.85,11,"20142015",53.29,52.86,46.33,74,99.2,52.33,38.66,35.21,39,73.87,53.13,29.21,25.77,39,56.86,2.56,1.94,7,55.5,101.23,51.51,75.57,55.26,8.76,6.62,92.47,107,107,161,126
"23","PIT",316,286,53,56,286,274,541,496,413,369,314,278,41,22,193,219,190,603.966666666667,10,"20142015",52.17,53.74,49.27,45,103.02,52.81,41.03,36.66,44,77.69,53.04,31.19,27.62,36,65.08,4.07,2.19,19,50.39,105.14,52.49,76.03,58.04,13.06,9.93,92.09,99,91,128,127
"18","NSH",320,351,39,39,219,202,631,586,449,415,314,312,28,21,215,212,244,672.125,11,"20142015",51.85,56.33,52.31,45,108.64,51.97,40.08,37.05,34,77.13,50.16,28.03,27.85,2,57.14,2.5,1.87,7,46.84,102.19,47.69,69.93,49.76,8.92,6.24,93.27,135,103,182,171
"19","NYI",328,357,48,53,328,263,649,608,502,448,348,327,35,39,261,220,204,664.808333333333,11,"20142015",51.63,58.57,54.87,41,113.45,52.84,45.31,40.43,54,85.74,51.56,31.41,29.51,21,47.3,3.16,3.52,-4,56.13,98.13,47.88,69.32,53.62,10.06,6.97,88.07,154,121,147,160
"28","VAN",352,403,57,54,231,262,658,627,521,466,382,351,37,34,252,252,251,727.45,12,"20142015",51.21,54.27,51.71,31,105.99,52.79,42.97,38.44,55,81.41,52.11,31.51,28.95,31,52.11,3.05,2.8,3,50.1,100,46.62,73.32,58.05,9.69,7.1,90.31,139,115,137,161
"26","T.B",355,339,48,57,240,231,621,593,472,448,351,327,42,30,232,253,209,728.958333333333,12,"20142015",51.15,51.11,48.81,28,99.92,51.3,38.85,36.87,24,75.72,51.77,28.89,26.92,24,58.33,3.46,2.47,12,52.61,102.79,51.15,74.36,56.52,11.97,8.9,90.83,121,121,149,145
"20","NYR",301,313,45,37,235,211,557,534,414,405,313,291,26,30,210,208,196,612.533333333333,10,"20142015",51.05,54.56,52.31,23,106.87,50.55,40.55,39.67,9,80.22,51.82,30.66,28.5,22,46.43,2.55,2.94,-4,51.72,98,49.02,75.6,56.19,8.31,6.28,89.69,101,114,143,129
"29","WPG",347,364,64,54,307,254,665,644,490,471,356,333,21,25,234,233,244,734.416666666667,12,"20142015",50.8,54.33,52.61,21,106.94,50.99,40.03,38.48,19,78.51,51.67,29.08,27.21,23,45.65,1.72,2.04,-4,48.95,98.39,48.8,72.65,53.53,5.9,4.29,92.49,134,138,175,173
"6","CBJ",357,362,50,59,285,256,592,572,463,448,335,336,28,37,256,230,233,659.725,11,"20142015",50.86,53.84,52.02,20,105.86,50.82,42.11,40.74,15,82.85,49.93,30.47,30.56,-1,43.08,2.55,3.37,-9,52.35,97.35,49.65,72.35,56.59,8.36,6.05,88.99,128,112,129,124
"2","ARI",383,319,52,60,297,243,639,620,475,462,339,328,28,41,254,243,205,671.825,11,"20142015",50.75,57.07,55.37,19,112.44,50.69,42.42,41.26,13,83.68,50.82,30.28,29.29,11,40.58,2.5,3.66,-13,55.34,95.76,54.56,71.37,53.05,8.26,5.89,87.5,136,134,164,158
