"","teamname","TeamGoalFor","TeamGoalAgn","TeamShotFor","TeamShotAgn","FenwickFor","FenwickAgn","CorsiFor","CorsiAgn","GF1","GA1","SF1","SA1","FF1","FA1","CF1","CA1","GF2","GA2","SF2","SA2","FF2","FA2","CF2","CA2","GF3","GA3","SF3","SA3","FF3","FA3","CF3","CA3","TOI","ZSO","ZSN","ZSD","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","Games","season","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team"
"24","S.J",12,16,220,203,323,267,464,362,1,4,113,121,113,121,114,122,3,5,48,37,48,37,48,37,7,7,55,44,55,44,55,44,430,157,135,134,229,197,21,20,157,162,7,"20142015",56.17,64.74,50.51,102,115.26,54.75,45.07,37.26,56,82.33,52.01,30.7,28.33,17,42.86,1.67,2.23,-4,53.95,97.57,53.76,68.11,47.41,5.45,3.72,92.12,103,64,141,95
"18","NSH",21,14,211,152,284,205,364,275,5,4,113,96,113,96,113,97,7,7,51,31,51,31,51,31,8,3,46,24,46,24,46,24,365,151,118,126,198,197,18,27,112,116,6,"20142015",56.96,59.84,45.21,89,105.04,58.08,46.68,33.7,79,80.38,58.13,34.68,24.99,59,60,3.45,2.3,7,54.51,100.74,50.13,74.3,57.97,9.95,7.39,90.79,73,53,80,70
"29","WPG",15,19,208,184,296,251,424,336,4,2,118,100,119,100,119,100,4,6,50,46,50,46,50,46,7,11,38,37,39,37,39,37,421.016666666667,159,134,131,198,226,30,26,192,132,7,"20142015",55.79,60.43,47.88,88,108.31,54.11,42.18,35.77,45,77.95,53.06,29.64,26.22,24,44.12,2.14,2.71,-4,54.83,96.89,46.7,70.27,49.06,7.21,5.07,89.67,88,67,128,85
"19","NYI",24,15,213,172,285,218,384,301,5,4,79,74,80,74,81,74,4,6,53,48,53,48,53,48,11,5,71,46,73,46,73,46,370,125,114,114,179,174,24,31,176,148,6,"20142015",56.06,62.27,48.81,83,111.08,56.66,46.22,35.35,67,81.57,55.32,34.54,27.89,41,61.54,3.89,2.43,9,52.3,102.55,50.71,74.74,55.47,11.27,8.42,91.28,72,46,99,83
"1","ANA",17,21,196,166,281,243,389,327,2,6,88,88,88,88,88,88,7,8,52,45,52,45,52,45,7,6,54,32,54,32,54,32,377.316666666667,136,134,118,197,191,18,17,173,183,6,"20142015",54.33,61.86,52,62,113.86,53.63,44.68,38.64,38,83.33,54.14,31.17,26.4,30,44.74,2.7,3.34,-4,53.54,96.02,50.77,69.75,50.39,8.67,6.05,87.35,85,77,108,84
"28","VAN",16,16,161,130,219,174,305,245,5,4,81,65,81,65,82,66,5,4,40,41,40,41,41,41,5,7,38,23,38,23,38,23,309.083333333333,106,113,101,171,149,21,17,92,97,5,"20142015",55.45,59.21,47.56,60,106.77,55.73,42.51,33.78,45,76.29,55.33,31.25,25.24,31,50,3.11,3.11,0,51.21,97.63,53.44,73.52,52.79,9.94,7.31,87.69,58,44,86,71
"8","CHI",21,16,189,170,251,220,349,305,6,4,85,81,85,81,86,82,5,3,52,39,52,39,52,40,9,7,49,44,49,44,49,44,365,126,108,128,182,180,21,31,72,136,6,"20142015",53.36,57.37,50.14,44,107.51,53.29,41.26,36.16,31,77.42,52.65,31.07,27.95,19,56.76,3.45,2.63,5,49.61,101.7,50.28,75.3,54.15,11.11,8.37,90.59,62,50,98,85
"22","PHI",12,17,163,151,214,196,297,254,3,3,94,79,94,79,94,79,2,6,28,35,28,35,28,36,6,8,39,37,39,37,40,38,300,121,102,86,162,147,24,24,141,121,5,"20142015",53.9,59.4,50.8,43,110.2,52.2,42.8,39.2,18,82,51.91,32.6,30.2,12,41.38,2.4,3.4,-5,58.45,96.1,52.43,76.17,54.88,7.36,5.61,88.74,51,45,83,58
"5","CAR",17,19,212,205,317,302,433,397,6,6,128,106,128,107,129,107,4,1,42,48,42,48,42,48,7,11,42,47,42,48,42,48,420,160,149,141,239,211,19,21,163,183,7,"20142015",52.17,61.86,56.71,36,118.57,51.21,45.29,43.14,15,88.43,50.84,30.29,29.29,7,47.22,2.43,2.71,-2,53.16,98.75,53.11,66.88,48.96,8.02,5.36,90.73,105,97,116,95
"30","WSH",11,12,178,167,245,225,343,313,3,4,108,92,108,92,108,92,4,1,30,32,30,32,30,32,4,6,38,41,38,42,38,42,363.266666666667,138,111,108,184,173,19,19,187,165,6,"20142015",52.29,56.65,51.7,30,108.35,52.13,40.47,37.16,20,77.63,51.59,29.4,27.58,11,47.83,1.82,1.98,-1,56.1,98.99,51.54,72.65,51.9,6.18,4.49,92.81,67,58,98,88
"11","DET",15,12,160,132,211,185,277,249,3,4,81,71,81,71,81,71,4,3,34,30,34,30,34,30,8,5,44,31,44,31,44,31,300,120,90,104,179,135,20,23,101,107,5,"20142015",52.66,55.4,49.8,28,105.2,53.28,42.2,37,26,79.2,54.79,32,26.4,28,55.56,3,2.4,3,53.57,100.28,57.01,75.83,57.76,9.38,7.11,90.91,51,53,66,64
"12","EDM",11,23,180,180,246,240,336,319,3,5,101,102,101,102,101,102,4,10,46,39,46,39,46,39,3,8,32,39,32,39,32,39,362.65,125,126,129,191,189,30,27,125,109,6,"20142015",51.3,55.59,52.78,17,108.37,50.62,40.7,39.71,6,80.41,50,29.78,29.78,0,32.35,1.82,3.81,-12,49.21,93.33,50.26,73.17,53.57,6.11,4.47,87.22,66,60,90,79
