"","teamname","season","Penalties Taken","Penalties Drawn","Hits","Hits Taken","Faceoffs Won","Faceoffs Lost","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","Games","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team"
"13","FLA","20142015",14,20,206,204,183,162,368,272,275,218,209,160,14,13,142,110,93,342.241666666667,7,57.5,64.52,47.69,96,112.2,55.78,48.21,38.22,57,86.43,56.64,36.64,28.05,49,51.85,2.45,2.28,1,60.43,98.57,53.04,76,56.79,6.7,5.09,91.88,66,58,93,54
"26","T.B","20142015",15,16,110,125,133,125,287,203,206,149,146,105,14,7,98,88,72,286.466666666667,6,58.57,60.11,42.52,84,102.63,58.03,43.15,31.21,57,74.35,58.17,30.58,21.99,41,66.67,2.93,1.47,7,57.65,102.92,51.55,70.87,50.87,9.59,6.8,93.33,60,44,81,54
"29","WPG","20142015",22,18,183,149,144,145,299,235,214,181,162,136,13,8,97,113,79,327.516666666667,7,55.99,54.78,43.05,64,97.83,54.18,39.2,33.16,33,72.36,54.36,29.68,24.91,26,61.9,2.38,1.47,5,55.11,102.14,49.83,75.7,54.18,8.02,6.07,94.12,52,45,85,54
"18","NSH","20142015",14,10,111,98,145,161,291,252,215,179,159,136,11,10,103,94,109,292.175,6,53.59,59.76,51.75,39,111.51,54.57,44.15,36.76,36,80.91,53.9,32.65,27.93,23,52.38,2.26,2.05,1,48.58,99.57,47.39,73.95,54.64,6.92,5.12,92.65,56,43,76,73
"15","MIN","20142015",12,18,91,116,137,144,287,248,225,184,153,129,11,16,85,101,95,285.166666666667,6,53.64,60.39,52.18,39,112.57,55.01,47.34,38.71,41,86.05,54.26,32.19,27.14,24,40.74,2.31,3.37,-5,47.22,94.79,48.75,68,53.31,7.19,4.89,87.6,72,55,62,64
"28","VAN","20142015",20,26,163,184,193,176,375,339,292,238,219,165,17,10,127,136,106,383.783333333333,8,52.52,58.63,53,36,111.63,55.09,45.65,37.21,54,82.86,57.03,34.24,25.8,54,62.96,2.66,1.56,7,54.51,101.7,52.3,75,58.4,7.76,5.82,93.94,73,73,83,101
"24","S.J","20142015",15,19,151,141,168,137,284,252,210,181,147,127,13,10,100,105,100,294.333333333333,6,52.99,57.89,51.37,32,109.26,53.71,42.81,36.9,29,79.71,53.65,29.97,25.89,20,56.52,2.65,2.04,3,50,100.97,55.08,70,51.76,8.84,6.19,92.13,63,54,74,71
"16","MTL","20142015",25,12,111,152,199,146,341,310,243,225,166,169,9,17,111,131,103,343.333333333333,7,52.38,59.59,54.17,31,113.77,51.92,42.47,39.32,18,81.79,49.55,29.01,29.53,-3,34.62,1.57,2.97,-8,51.87,95.36,57.68,68.31,48.68,5.42,3.7,89.94,77,56,98,85
"14","L.A","20142015",11,18,187,129,132,133,267,239,199,200,139,131,12,7,92,84,89,292.583333333333,6,52.77,54.75,49.01,28,103.77,49.87,40.81,41.01,-1,81.82,51.48,28.5,26.86,8,63.16,2.46,1.44,5,50.83,103.29,49.81,69.85,52.06,8.63,6.03,94.66,60,69,68,39
"17","N.J","20142015",20,12,135,115,125,157,261,235,194,189,131,137,6,10,94,106,82,286.108333333333,6,52.62,54.73,49.28,26,104.02,50.65,40.68,39.64,5,80.32,48.88,27.47,28.73,-6,37.5,1.26,2.1,-4,53.41,97.28,44.33,67.53,50.19,4.58,3.09,92.7,63,52,67,46
"11","DET","20142015",19,23,121,146,214,169,302,276,236,219,183,161,20,12,135,139,109,360.316666666667,8,52.25,50.29,45.96,26,96.25,51.87,39.3,36.47,17,75.77,53.2,30.47,26.81,22,62.5,3.33,2,8,55.33,103.48,55.87,77.54,60.6,10.93,8.47,92.55,53,58,66,57
"5","CAR","20142015",7,19,131,164,136,141,281,256,190,185,145,138,6,12,104,92,81,297.491666666667,6,52.33,56.67,51.63,25,108.31,50.67,38.32,37.31,5,75.63,51.24,29.24,27.83,7,33.33,1.21,2.42,-6,56.22,95.44,49.1,76.32,51.6,4.14,3.16,91.3,45,47,91,71
"19","NYI","20142015",19,20,189,163,159,181,342,320,252,217,178,144,9,9,111,126,103,350.333333333333,7,51.66,58.57,54.8,22,113.38,53.73,43.16,37.16,35,80.32,55.28,30.49,24.66,34,50,1.54,1.54,0,51.87,98.81,46.76,70.63,52.05,5.06,3.57,93.75,74,73,90,103
"8","CHI","20142015",18,20,89,153,171,158,320,306,240,242,176,178,16,10,110,112,107,332.133333333333,7,51.12,57.81,55.28,14,113.09,49.79,43.36,43.72,-2,87.07,49.72,31.79,32.16,-2,61.54,2.89,1.81,6,50.69,103.47,51.98,73.33,55,9.09,6.67,94.38,64,64,80,64
"2","ARI","20142015",16,15,217,238,196,160,330,322,239,240,166,178,8,18,129,122,105,360,7,50.61,55,53.67,8,108.67,49.9,39.83,40,-1,79.83,48.26,27.67,29.67,-12,30.77,1.33,3,-10,55.13,94.71,55.06,69.46,50.3,4.82,3.35,89.89,73,62,91,82
"10","DAL","20142015",15,19,109,103,164,137,282,278,215,203,153,153,12,16,89,121,91,276.358333333333,6,50.36,61.22,60.36,4,121.58,51.44,46.68,44.07,12,90.75,50,33.22,33.22,0,42.86,2.61,3.47,-4,49.44,97.39,54.49,71.16,54.26,7.84,5.58,89.54,62,50,67,75
"20","NYR","20142015",13,18,127,116,102,138,241,249,172,190,122,129,15,10,65,99,76,274.158333333333,6,49.18,52.74,54.49,-8,107.24,47.51,37.64,41.58,-18,79.22,48.61,26.7,28.23,-7,60,3.28,2.19,5,46.1,104.54,42.5,70.93,50.62,12.3,8.72,92.25,50,61,69,59
"30","WSH","20142015",14,18,158,173,155,140,303,312,212,220,141,149,10,9,91,109,95,302.108333333333,6,49.27,60.18,61.96,-9,122.14,49.07,42.1,43.69,-8,85.8,48.62,28,29.59,-8,52.63,1.99,1.79,1,48.92,101.05,52.54,66.51,46.53,7.09,4.72,93.96,71,71,91,92
"12","EDM","20142015",15,13,134,138,144,153,255,265,179,194,137,139,8,10,88,111,98,308.275,6,49.04,49.63,51.58,-10,101.21,47.99,34.84,37.76,-15,72.6,49.64,26.66,27.05,-2,44.44,1.56,1.95,-2,47.31,98.65,48.48,76.54,53.73,5.84,4.47,92.81,42,55,76,71
"3","BOS","20142015",23,11,152,154,134,118,270,285,206,219,136,157,13,10,74,91,87,291.141666666667,6,48.65,55.64,58.73,-15,114.38,48.47,42.45,45.13,-13,87.59,46.42,28.03,32.36,-21,56.52,2.68,2.06,3,45.96,103.19,53.17,66.02,50.37,9.56,6.31,93.63,70,62,64,66
"21","OTT","20142015",27,16,198,183,163,180,321,337,220,256,148,195,9,15,101,126,116,373.258333333333,8,48.78,51.6,54.17,-16,105.77,46.22,35.36,41.15,-36,76.52,43.15,23.79,31.35,-47,37.5,1.45,2.41,-6,46.54,98.39,47.52,67.27,46.11,6.08,4.09,92.31,72,61,101,81
"1","ANA","20142015",28,26,197,190,167,187,318,342,248,263,169,175,20,14,90,148,116,358.916666666667,8,48.18,53.16,57.17,-24,110.33,48.53,41.46,43.97,-15,85.42,49.13,28.25,29.25,-6,58.82,3.34,2.34,6,43.69,103.83,47.18,68.15,53.14,11.83,8.06,92,79,88,70,79
"27","TOR","20142015",15,13,155,166,106,115,209,239,159,180,110,123,14,9,57,95,69,228.841666666667,5,46.65,54.8,62.66,-30,117.46,46.9,41.69,47.19,-21,88.88,47.21,28.84,32.25,-13,60.87,3.67,2.36,5,45.24,105.41,47.96,69.18,52.63,12.73,8.81,92.68,49,57,50,59
"23","PIT","20142015",24,16,203,191,139,158,263,293,191,218,146,158,10,9,89,108,100,336.025,7,47.3,46.96,52.32,-30,99.28,46.7,34.1,38.93,-27,73.03,48.03,26.07,28.21,-12,52.63,1.79,1.61,1,47.09,101.15,46.8,76.44,55.51,6.85,5.24,94.3,45,60,72,75
"9","COL","20142015",18,12,137,115,138,170,260,294,195,223,152,161,15,16,96,108,104,295.225,6,46.93,52.84,59.75,-34,112.59,46.65,39.63,45.32,-28,84.95,48.56,30.89,32.72,-9,48.39,3.05,3.25,-1,48,99.93,44.81,77.95,58.46,9.87,7.69,90.06,43,62,65,71
"25","STL","20142015",20,30,131,146,181,175,273,318,213,219,162,158,13,17,110,135,111,326.391666666667,7,46.19,50.19,58.46,-45,108.64,49.31,39.16,40.26,-6,79.41,50.62,29.78,29.04,4,43.33,2.39,3.13,-4,49.77,97.27,50.84,76.06,59.34,8.02,6.1,89.24,51,61,60,99
"7","CGY","20142015",11,14,146,137,146,184,263,320,190,213,128,155,9,11,115,100,115,305.783333333333,6,45.11,51.61,62.79,-57,114.39,47.15,37.28,41.79,-23,79.08,45.23,25.12,30.41,-27,45,1.77,2.16,-2,50,99.93,44.24,67.37,48.67,7.03,4.74,92.9,62,58,73,107
"22","PHI","20142015",22,18,141,180,157,144,244,313,191,241,134,166,5,12,88,108,105,324.391666666667,7,43.81,45.13,57.89,-69,103.02,44.21,35.33,44.58,-50,79.9,44.67,24.78,30.7,-32,29.41,0.92,2.22,-7,45.6,96.5,52.16,70.16,54.92,3.73,2.62,92.77,57,75,53,72
"6","CBJ","20142015",17,16,181,124,131,144,204,299,165,215,114,170,8,10,73,87,115,279.283333333333,6,40.56,43.83,64.24,-95,108.06,43.42,35.45,46.19,-50,81.64,40.14,24.49,36.52,-56,44.44,1.72,2.15,-2,38.83,101.14,47.64,69.09,55.88,7.02,4.85,94.12,51,45,39,84
"4","BUF","20142015",14,17,157,128,118,142,196,328,147,232,109,158,8,11,70,87,103,294.858333333333,6,37.4,39.88,66.74,-132,106.63,38.79,29.91,47.21,-85,77.12,40.82,22.18,32.15,-49,42.11,1.63,2.24,-3,40.46,100.38,45.38,74.15,55.61,7.34,5.44,93.04,38,74,49,96
