"","teamname","TeamGoalFor","TeamGoalAgn","TeamShotFor","TeamShotAgn","FenwickFor","FenwickAgn","CorsiFor","CorsiAgn","GF1","GA1","SF1","SA1","FF1","FA1","CF1","CA1","GF2","GA2","SF2","SA2","FF2","FA2","CF2","CA2","GF3","GA3","SF3","SA3","FF3","FA3","CF3","CA3","TOI","ZSO","ZSN","ZSD","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","Games","season","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team"
"8","CHI",60,44,759,585,997,787,1381,1047,18,7,390,300,390,300,392,302,14,11,170,122,170,122,171,123,24,22,187,151,188,151,191,151,1283.01666666667,525,377,391,675,618,76,102,333,538,21,"20142015",56.88,64.58,48.96,334,113.54,55.89,46.62,36.8,210,83.43,56.47,35.49,27.36,174,57.69,2.81,2.06,16,57.31,100.38,52.2,76.13,54.96,7.91,6.02,92.48,238,202,384,260
"15","MIN",53,43,622,470,852,669,1105,938,10,14,335,269,336,269,337,270,8,8,131,104,131,104,132,104,34,21,150,95,150,95,150,95,1146.01666666667,399,363,370,562,570,85,86,300,423,19,"20142015",54.09,57.85,49.11,167,106.96,56.02,44.61,35.03,183,79.63,56.96,32.56,24.61,152,55.21,2.77,2.25,10,51.89,99.37,49.65,73,56.29,8.52,6.22,90.85,230,199,253,269
"24","S.J",60,60,734,717,1031,972,1463,1297,12,11,367,360,368,361,370,363,13,21,156,159,157,159,157,159,31,27,192,186,192,187,194,189,1410,510,465,543,773,745,97,103,477,548,23,"20142015",53.01,62.26,55.19,166,117.45,51.47,43.87,41.36,59,85.23,50.59,31.23,30.51,17,50,2.55,2.55,0,48.43,99.81,50.92,71.19,50.17,8.17,5.82,91.63,297,255,432,325
"18","NSH",55,41,618,554,875,759,1186,1039,13,9,337,325,337,325,338,329,22,13,159,115,159,115,159,116,19,18,120,107,120,107,120,108,1218.43333333333,446,383,439,609,659,64,78,384,382,20,"20142015",53.3,58.4,51.16,147,109.57,53.55,43.09,37.38,116,80.46,52.73,30.43,27.28,64,57.29,2.71,2.02,14,50.4,101.5,48.03,70.63,52.11,8.9,6.29,92.6,257,205,311,280
"3","BOS",55,54,648,622,908,843,1263,1119,17,9,353,346,353,347,355,348,12,13,135,139,135,139,136,140,22,26,145,121,146,121,147,121,1334.78333333333,462,409,451,687,635,88,73,520,541,22,"20142015",53.02,56.77,50.3,144,107.07,51.86,40.82,37.89,65,78.71,51.02,29.13,27.96,26,50.46,2.47,2.43,1,50.6,99.81,51.97,71.37,51.31,8.49,6.06,91.32,260,221,355,276
"19","NYI",64,57,656,581,934,794,1221,1087,14,15,265,245,267,246,271,247,16,14,175,148,176,148,176,148,25,26,198,176,201,176,201,176,1222.3,449,398,373,589,631,84,98,607,486,20,"20142015",52.9,59.94,53.36,134,113.29,54.05,45.85,38.98,140,84.82,53.03,32.2,28.52,75,52.89,3.14,2.8,7,54.62,99.95,48.28,70.24,53.73,9.76,6.85,90.19,278,213,287,293
"30","WSH",55,52,610,537,840,737,1150,1039,14,13,313,285,313,285,314,286,23,16,145,118,145,118,145,118,18,22,147,126,147,128,147,128,1227.31666666667,435,411,363,606,603,82,82,560,494,20,"20142015",52.54,56.22,50.79,111,107.01,53.27,41.07,36.03,103,77.1,53.18,29.82,26.25,73,51.4,2.69,2.54,3,54.51,99.33,50.12,72.62,53.04,9.02,6.55,90.32,230,200,310,302
"11","DET",55,46,602,534,811,730,1088,977,14,10,296,282,296,282,298,283,17,11,137,121,137,121,137,122,23,23,160,123,161,124,162,125,1226.86666666667,448,390,375,647,566,86,96,389,435,20,"20142015",52.69,53.21,47.78,111,100.99,52.63,39.66,35.7,81,75.36,52.99,29.44,26.12,68,54.46,2.69,2.25,9,54.43,100.52,53.34,74.23,55.33,9.14,6.78,91.39,209,196,277,247
"25","STL",55,42,651,554,887,777,1166,1063,8,11,321,274,322,274,325,274,19,16,196,152,196,152,196,152,28,15,130,122,130,122,130,124,1276.46666666667,457,405,478,710,630,89,92,399,485,21,"20142015",52.31,54.81,49.97,103,104.77,53.31,41.69,36.52,110,78.22,54.02,30.6,26.04,97,56.7,2.59,1.97,13,48.88,100.87,52.99,73.39,55.83,8.45,6.2,92.42,236,223,279,286
"29","WPG",43,49,664,614,918,865,1270,1176,8,8,323,307,324,307,325,308,11,12,172,160,172,160,172,161,23,26,161,142,162,143,163,144,1345.6,457,433,446,643,693,120,105,596,471,22,"20142015",51.92,56.63,52.44,94,109.07,51.49,40.93,38.57,53,79.5,51.96,29.61,27.38,50,46.74,1.92,2.18,-6,50.61,98.5,48.13,72.33,52.28,6.48,4.68,92.02,254,251,352,311
"12","EDM",49,73,628,626,882,847,1198,1120,11,16,345,322,345,322,345,325,14,28,140,155,140,155,140,155,20,29,133,143,135,143,135,143,1267.65,458,451,418,671,656,75,84,447,479,21,"20142015",51.68,56.7,53.01,78,109.71,51.01,41.75,40.09,35,81.84,50.08,29.72,29.63,2,40.16,2.32,3.46,-24,52.28,96.14,50.57,71.2,52.42,7.8,5.56,88.34,254,221,316,273
