"","teamname","season","Penalties Taken","Penalties Drawn","Hits","Hits Taken","Faceoffs Won","Faceoffs Lost","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","Games","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team"
"8","CHI","20142015",74,87,382,631,646,594,1315,1073,960,809,734,611,55,38,461,411,368,1256.875,27,55.07,62.77,51.22,242,114,54.27,45.83,38.62,151,84.45,54.57,35.04,29.17,123,59.14,2.63,1.81,17,55.61,101.27,52.1,76.46,55.82,7.49,5.73,93.78,226,198,355,264
"26","T.B","20142015",87,76,535,546,612,594,1227,1048,918,756,673,539,65,45,406,474,326,1320.50833333333,28,53.93,55.75,47.62,179,103.37,54.84,41.71,34.35,162,76.06,55.53,30.58,24.49,134,59.09,2.95,2.04,20,55.46,101.31,50.75,73.31,54.85,9.66,7.08,91.65,245,217,309,292
"15","MIN","20142015",62,73,371,488,551,574,1126,953,866,690,617,488,51,49,365,409,351,1164.85833333333,25,54.16,58,49.09,173,107.09,55.66,44.61,35.54,176,80.15,55.84,31.78,25.14,129,51,2.63,2.52,2,50.98,98.22,48.98,71.25,54.8,8.27,5.89,89.96,249,202,260,263
"18","NSH","20142015",62,65,469,458,630,678,1250,1085,916,787,660,574,55,33,439,426,443,1276.16666666667,26,53.53,58.77,51.01,165,109.78,53.79,43.07,37,129,80.07,53.48,31.03,26.99,86,62.5,2.59,1.55,22,49.77,102.58,48.17,72.05,52.8,8.33,6,94.25,256,213,334,298
"19","NYI","20142015",74,91,754,596,609,649,1294,1169,968,814,669,576,54,48,416,475,367,1312.35833333333,27,52.54,59.16,53.45,125,112.61,54.32,44.26,37.22,154,81.47,53.73,30.59,26.33,93,52.94,2.47,2.19,6,53.13,99.74,48.41,69.11,51.7,8.07,5.58,91.67,299,238,326,355
"3","BOS","20142015",92,61,625,659,667,617,1295,1176,940,887,657,655,52,48,417,446,421,1379.14166666667,28,52.41,56.34,51.16,119,107.5,51.45,40.9,38.59,53,79.48,50.08,28.58,28.5,2,52,2.26,2.09,4,49.76,100.59,51.95,69.89,50.73,7.91,5.53,92.67,283,232,355,289
"24","S.J","20142015",80,88,594,646,754,710,1399,1285,978,944,683,684,49,53,467,502,495,1414.425,29,52.12,59.35,54.51,114,113.86,50.88,41.49,40.04,34,81.53,49.96,28.97,29.02,-1,48.04,2.08,2.25,-4,48.54,99.43,51.5,69.84,48.82,7.17,5.01,92.25,295,260,421,341
"11","DET","20142015",71,90,468,539,677,572,1090,993,815,760,624,564,54,44,436,462,351,1277.55833333333,28,52.33,51.19,46.64,97,97.83,51.75,38.28,35.69,55,73.97,52.53,29.31,26.49,60,55.1,2.54,2.07,10,55.4,100.85,54.2,76.56,57.25,8.65,6.63,92.2,191,196,275,233
"14","L.A","20142015",91,76,757,628,649,630,1220,1130,937,910,643,636,49,38,413,467,399,1274.73333333333,27,51.91,57.42,53.19,90,110.61,50.73,44.1,42.83,27,86.94,50.27,30.27,29.94,7,56.32,2.31,1.79,11,50.86,101.65,50.74,68.62,52.7,7.62,5.23,94.03,294,274,283,220
"5","CAR","20142015",58,75,541,649,630,593,1186,1099,859,806,604,572,39,54,424,441,358,1255.95833333333,26,51.9,56.66,52.5,87,109.16,51.59,41.04,38.5,53,79.54,51.36,28.85,27.33,32,41.94,1.86,2.58,-15,54.22,97.02,51.51,70.31,50.93,6.46,4.54,90.56,255,234,327,293
"29","WPG","20142015",97,79,683,556,569,617,1184,1099,860,820,623,579,40,39,389,436,361,1287.40833333333,28,51.86,55.18,51.22,85,106.4,51.19,40.08,38.22,40,78.3,51.83,29.04,26.98,44,50.63,1.86,1.82,1,51.87,99.68,47.98,72.44,52.62,6.42,4.65,93.26,237,241,324,279
"13","FLA","20142015",67,79,610,630,570,593,1080,1021,826,781,609,555,40,37,369,405,389,1175.26666666667,25,51.4,55.14,52.12,59,107.26,51.4,42.17,39.87,45,82.04,52.32,31.09,28.33,54,51.95,2.04,1.89,3,48.68,99.9,49.01,73.73,56.39,6.57,4.84,93.33,217,226,254,240
"30","WSH","20142015",70,68,683,629,607,607,1163,1109,838,782,610,572,46,49,415,453,346,1267.725,26,51.19,55.04,52.49,54,107.53,51.73,39.66,37.01,56,76.67,51.61,28.87,27.07,38,48.42,2.18,2.32,-3,54.53,98.97,50,72.79,52.45,7.54,5.49,91.43,228,210,325,327
"28","VAN","20142015",82,86,511,590,659,672,1220,1173,934,854,696,629,55,58,418,520,393,1331.76666666667,28,50.98,54.96,52.85,47,107.81,52.24,42.08,38.48,80,80.55,52.53,31.36,28.34,67,48.67,2.48,2.61,-3,51.54,98.68,49.51,74.52,57.05,7.9,5.89,90.78,238,225,286,319
"17","N.J","20142015",83,69,458,479,570,626,1040,996,767,792,565,601,42,41,363,464,369,1258.15833333333,27,51.08,49.6,47.5,44,97.09,49.2,36.58,37.77,-25,74.35,48.46,26.94,28.66,-36,50.6,2,1.96,1,49.59,100.61,47.66,73.66,54.33,7.43,5.48,93.18,202,191,273,204
"25","STL","20142015",82,81,486,556,706,623,1158,1119,886,806,650,576,47,41,420,460,449,1285.075,27,50.86,54.07,52.25,39,106.31,52.36,41.37,37.63,80,79,53.02,30.35,26.89,74,53.41,2.19,1.91,6,48.33,100.11,53.12,73.36,56.13,7.23,5.3,92.88,236,230,272,313
"23","PIT","20142015",97,82,677,637,547,578,1087,1056,803,765,593,555,52,35,353,433,339,1226.85,26,50.72,53.16,51.64,31,104.8,51.21,39.27,37.41,38,76.68,51.66,29,27.14,38,59.77,2.54,1.71,17,51.01,102.46,48.62,73.85,54.55,8.77,6.48,93.69,210,210,284,291
"12","EDM","20142015",76,74,543,577,660,669,1188,1159,855,870,631,642,42,63,410,510,409,1308.975,27,50.62,54.45,53.13,29,107.58,49.57,39.19,39.88,-15,79.07,49.57,28.92,29.43,-11,40,1.93,2.89,-21,50.06,96.84,49.66,73.8,53.11,6.66,4.91,90.19,224,228,333,289
"16","MTL","20142015",94,73,503,626,778,635,1306,1288,921,920,664,674,53,51,427,512,474,1385.23333333333,29,50.35,56.57,55.79,18,112.36,50.03,39.89,39.85,1,79.74,49.63,28.76,29.19,-10,50.96,2.3,2.21,2,47.39,100.42,55.06,72.1,50.84,7.98,5.75,92.43,257,246,385,368
"1","ANA","20142015",80,97,754,710,727,644,1252,1242,941,920,661,636,54,48,422,510,439,1366.24166666667,29,50.2,54.98,54.54,10,109.53,50.56,41.33,40.4,21,81.73,50.96,29.03,27.93,25,52.94,2.37,2.11,6,49.01,100.62,53.03,70.24,52.8,8.17,5.74,92.45,280,284,311,322
"20","NYR","20142015",64,68,531,521,509,603,1041,1054,770,799,570,575,53,47,334,433,345,1179.26666666667,25,49.69,52.97,53.63,-13,106.59,49.08,39.18,40.65,-29,79.83,49.78,29,29.26,-5,53,2.7,2.39,6,49.19,101.12,45.77,74.03,54.76,9.3,6.88,91.83,200,224,271,255
