"","teamname","season","PN","PN-","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"1","DAL","20142015",19,13,79,107,127,133,258,181,190,140,131,103,9,8,100,87,73,237.066666666667,5,58.7699316628702,65.2980877390326,45.8098987626547,77,111.107986501687,57.5757575757576,48.0877390326209,35.4330708661417,50,83.5208098987627,55.982905982906,33.1552305961755,26.0686164229471,28,52.9411764705882,2.27784026996625,2.02474690663667,1,57.8034682080925,99.1032387163715,48.8461538461538,68.9473684210526,50.7751937984496,6.87022900763359,4.73684210526316,92.2330097087379,59,37,68,41
"2","NYI","20142015",12,11,132,91,110,107,248,187,182,128,146,99,10,8,76,86,55,246.75,5,57.0114942528736,60.3039513677812,45.4711246200608,61,105.775075987842,58.7096774193548,44.2553191489362,31.1246200607903,54,75.3799392097264,59.5918367346939,35.5015197568389,24.0729483282675,47,55.5555555555556,2.43161094224924,1.94528875379939,2,58.0152671755725,98.7685069876851,50.6912442396313,80.2197802197802,58.8709677419355,6.84931506849315,5.49450549450549,91.9191919191919,36,29,66,59
"3","DET","20142015",15,15,103,138,121,106,214,157,162,126,112,103,4,6,91,74,62,245.216666666667,5,57.6819407008086,52.3618568612791,38.4150071365459,57,90.776863997825,56.25,39.6384150071365,30.829878338884,36,70.4682933460205,52.093023255814,27.4043363012302,25.2022021341671,9,40,0.978726296472507,1.46808944470876,-2,59.4771241830065,97.746185852982,53.3039647577093,69.1358024691358,52.3364485981308,3.57142857142857,2.46913580246914,94.1747572815534,50,23,52,31
"4","L.A","20142015",10,23,152,127,112,123,239,183,176,130,115,79,7,7,95,83,57,235.85,5,56.6350710900474,60.8013567945728,46.5550137799449,56,107.356370574518,57.516339869281,44.7742209031164,33.0718677125291,46,77.8460886156455,59.2783505154639,29.2558829764681,20.0975196099216,36,50,1.78079287682849,1.78079287682849,0,62.5,97.2261970280682,47.6595744680851,65.3409090909091,48.1171548117155,6.08695652173913,3.97727272727273,91.1392405063291,61,51,63,53
"5","CHI","20142015",11,14,67,138,128,108,258,204,202,137,156,102,11,9,88,87,61,248.266666666667,5,55.8441558441558,62.3523093447905,49.3018259935553,54,111.654135338346,59.5870206489676,48.8184747583244,33.109559613319,65,81.9280343716434,60.4651162790698,37.7013963480129,24.6509129967777,54,55,2.65843179377014,2.17508055853921,2,59.0604026845638,98.2277526395173,54.2372881355932,77.2277227722772,60.4651162790698,7.05128205128205,5.44554455445545,91.1764705882353,46,35,56,67
"6","FLA","20142015",12,13,128,125,101,100,195,147,148,104,109,76,5,6,69,77,55,190.233333333333,4,57.0175438596491,61.503416856492,46.3641142456632,48,107.867531102155,58.7301587301587,46.6795163833888,32.8018223234624,44,79.4813387068512,58.9189189189189,34.3788330120904,23.9705624671456,33,45.4545454545455,1.577010688628,1.8924128263536,-1,55.6451612903226,96.6924191211975,50.2487562189055,73.6486486486486,55.8974358974359,4.58715596330275,3.37837837837838,92.1052631578947,39,28,47,43
"7","ANA","20142015",12,14,147,158,130,144,281,240,211,172,139,123,8,11,113,84,77,257.775,5,53.9347408829175,65.4058772185045,55.862670933954,41,121.268548152459,55.0913838120104,49.1125981961013,40.0349141693337,39,89.147512365435,53.0534351145038,32.353796915915,28.6296188536514,16,42.1052631578947,1.8620890311318,2.56037241780623,-3,59.4736842105263,96.8123062525589,47.4452554744526,65.8767772511848,49.4661921708185,5.75539568345324,3.7914691943128,91.0569105691057,72,49,70,68
"8","NSH","20142015",15,14,77,96,123,127,224,186,170,136,133,103,13,8,89,93,68,234.266666666667,5,54.6341463414634,57.3705179282869,47.6380193511668,38,105.008537279454,55.5555555555556,43.540125213432,34.8321001707456,34,78.3722253841776,56.3559322033898,34.0637450199203,26.3801935116676,30,61.9047619047619,3.3295389869095,2.04894706886739,5,56.687898089172,102.007445798963,49.2,78.2352941176471,59.375,9.77443609022556,7.64705882352941,92.2330097087379,37,33,54,50
"9","ARI","20142015",16,15,140,147,123,96,260,224,178,172,122,117,9,9,67,85,67,240.391666666667,5,53.7190082644628,64.8940964398378,55.9087600097064,36,120.802856449544,50.8571428571429,44.4274967934274,42.9299407217388,6,87.3574375151662,51.0460251046025,30.4503067910008,29.202343397927,5,50,2.24633410753285,2.24633410753285,0,50,99.6847414880202,56.1643835616438,68.5393258426966,46.9230769230769,7.37704918032787,5.0561797752809,92.3076923076923,56,55,82,52
"10","WSH","20142015",23,19,175,168,125,130,238,205,174,164,122,114,12,6,76,101,78,277.15,6,53.72460496614,51.5244452462565,44.3802994768176,33,95.9047447230742,51.4792899408284,37.6691322388598,35.5042395814541,10,73.1733718203139,51.6949152542373,26.41169042035,24.6797762944254,8,66.6666666666667,2.59787118888688,1.29893559444344,6,49.3506493506493,104.572907679034,49.0196078431373,70.1149425287356,51.2605042016807,9.83606557377049,6.89655172413793,94.7368421052632,52,50,64,41
