"","teamname","season","PN","PN-","HIT","HIT-","FO_W","FO_L","CF","CA","FF","FA","SF","SA","GF","GA","ZSO","ZSN","ZSD","TOI","Gm","CF%","CF60","CA60","C+/-","CP60","FF%","FF60","FA60","F+/-","FP60","SF%","SF60","SA60","S+/-","GF%","GF60","GA60","G+/-","ZSO%","PDO","FO%","OFOn%","OCOn%","OSh%","OFenSh%","OSv%","MSF","MSA","BSF","BSA"
"1","CHI","20142015",83,93,448,734,750,682,1513,1250,1104,951,831,711,63,45,529,481,422,1463.05833333333,31,54.7593195801665,62.0481069904937,51.2624809901633,263,113.310587980657,53.7226277372263,45.2750232105122,39.0004955373162,153,84.2755187478285,53.8910505836576,34.0792973622606,29.1580991872049,120,58.3333333333333,2.58362904190423,1.84544931564588,18,55.6256572029443,101.252113512772,52.3743016759777,75.2717391304348,54.9239920687376,7.5812274368231,5.70652173913043,93.6708860759494,273,240,409,299
"2","T.B","20142015",95,85,593,599,666,655,1370,1160,1027,843,748,605,70,52,443,519,359,1460.075,31,54.1501976284585,56.2984778179203,47.6687841378011,210,103.967261955721,54.9197860962567,42.2033114737257,34.6420560587641,184,76.8453675324898,55.2845528455285,30.7381470129959,24.861736554629,143,57.3770491803279,2.87656456003972,2.13687653031522,18,55.2369077306733,100.763247447739,50.4163512490537,72.8334956183057,54.5985401459854,9.35828877005348,6.8159688412853,91.404958677686,279,238,343,317
"3","L.A","20142015",104,88,871,759,728,723,1452,1274,1095,1012,755,711,57,45,484,529,438,1468.425,31,53.2648569332355,59.3288727718474,52.0557740436182,178,111.384646815466,51.9696250593261,44.7418152101742,41.3504264773482,83,86.0922416875223,51.5006821282401,30.8493794371521,29.0515348077021,44,55.8823529411765,2.32902599724194,1.83870473466469,12,52.4945770065076,101.220554950122,50.1722949689869,68.9497716894977,51.9972451790634,7.54966887417219,5.20547945205479,93.6708860759494,340,301,357,262
"4","MIN","20142015",74,81,429,562,621,640,1271,1103,961,796,684,551,57,55,421,455,385,1305.025,28,53.5383319292334,58.4356621520661,50.7116721901879,168,109.147334342254,54.6955036994878,44.1830616271719,36.5970000574702,165,80.780061684642,55.3846153846154,31.4476734162181,25.3328480297312,133,50.8928571428571,2.62063945135151,2.52868718990058,2,52.2332506203474,98.35148215366,49.2466296590008,71.1758584807492,53.8158929976397,8.33333333333333,5.93132154006244,90.0181488203267,277,245,310,307
"5","NSH","20142015",69,76,529,531,682,767,1383,1240,1010,898,732,649,60,34,485,475,489,1411.5,29,52.7258863896302,58.788522848034,52.7098831030818,143,111.498405951116,52.9350104821803,42.933049946865,38.1721572794899,112,81.1052072263549,53.0050687907314,31.115834218916,27.5876726886291,83,63.8297872340426,2.55047821466525,1.44527098831031,26,49.7946611909651,102.957892343833,47.0669427191166,72.4752475247525,52.9284164859002,8.19672131147541,5.94059405940594,94.7611710323575,278,249,373,342
"6","BOS","20142015",99,64,679,707,738,658,1397,1258,1020,948,713,700,55,52,454,486,456,1482.2,30,52.6177024482109,56.5510727297261,50.9243017136689,139,107.475374443395,51.8292682926829,41.2899743624342,38.3753879368506,72,79.6653622992848,50.4600141542817,28.862501686682,28.336256915396,13,51.4018691588785,2.22642018620969,2.10497908514371,3,49.8901098901099,100.285313564416,52.865329512894,69.9019607843137,51.0379384395132,7.71388499298738,5.3921568627451,92.5714285714286,307,248,377,310
"7","DET","20142015",80,100,515,609,762,609,1230,1093,925,843,697,620,55,49,485,503,383,1414.14166666667,31,52.9487731381834,52.1871335380119,46.3744202902821,137,98.561553828294,52.3190045248869,39.246421563139,35.7672793272716,82,75.0137008904106,52.9233105542901,29.5727090048734,26.3057095882661,77,52.8846153846154,2.33357101186232,2.07899962875007,6,55.8755760368664,99.9877354561022,55.5798687089716,75.3513513513514,56.6666666666667,7.8909612625538,5.94594594594595,92.0967741935484,228,223,305,250
"8","NYI","20142015",82,102,828,652,666,741,1435,1308,1073,910,737,650,62,57,457,534,416,1458.28333333333,30,52.3149835946044,59.0420242979759,53.8167022869356,127,112.858726584911,54.1099344427635,44.1477993531207,37.4412837011555,163,81.5890830542761,53.1362653208363,30.3233253711556,26.7437740722539,87,52.1008403361345,2.55094460381499,2.34522326479765,5,52.348224513173,99.6432522701179,47.3347547974414,68.685927306617,51.3588850174216,8.41248303934871,5.77819198508854,91.2307692307692,336,260,362,398
"9","S.J","20142015",87,95,686,718,848,777,1552,1431,1089,1037,755,745,55,56,506,556,563,1561.35833333333,32,52.0281595709018,59.6403772356335,54.9905797836286,121,114.630957019262,51.2229539040452,41.8481770680444,39.8499170060257,52,81.6980940740701,50.3333333333333,29.0131989773861,28.6289181962287,10,49.5495495495495,2.11354429636588,2.15197237448162,-1,47.33395696913,99.7679896884306,52.1846153846154,69.3296602387511,48.6469072164948,7.28476821192053,5.05050505050505,92.4832214765101,334,292,463,394
"10","WPG","20142015",111,90,772,642,621,676,1327,1211,961,898,692,633,44,44,432,477,388,1424.11666666667,31,52.2852639873916,55.9083408428617,51.0211007993259,116,106.929441642188,51.6944593867671,40.4882558779126,37.8339789577165,63,78.3222348356291,52.2264150943396,29.1549147424719,26.6691633410184,59,50,1.85378070616874,1.85378070616874,0,52.6829268292683,99.40735464665,47.8797224363917,72.0083246618106,52.147701582517,6.35838150289017,4.57856399583767,93.0489731437599,269,265,366,313
"11","CAR","20142015",63,86,588,714,693,662,1336,1227,964,898,673,628,41,59,462,496,397,1401.51666666667,29,52.126414358174,57.1951814106147,52.5288080769642,109,109.723989487579,51.7722878625134,41.2695770058627,38.4440665469551,66,79.7136435528178,51.7294388931591,28.8116445279519,26.8851601241512,45,41,1.75524134568503,2.52583510720529,-18,53.7834691501746,96.6972203556658,51.1439114391144,69.8132780082988,50.374251497006,6.09212481426449,4.25311203319502,90.6050955414013,291,270,372,329
"12","FLA","20142015",76,87,668,670,633,676,1201,1134,925,870,682,619,47,43,410,463,436,1319.21666666667,28,51.4346895074946,54.6233244475888,51.5760615516784,67,106.199385999267,51.5320334261838,42.0704205778682,39.568936111076,55,81.6393566889442,52.4212144504228,31.0184073882228,28.1530706353518,63,52.2222222222222,2.1376321807133,1.95570603767387,4,48.4633569739953,99.9448073943879,48.3575248281131,73.7297297297297,56.7860116569525,6.89149560117302,5.08108108108108,93.0533117932149,243,251,276,264
"13","PIT","20142015",110,92,752,708,598,636,1202,1142,889,831,656,608,58,39,389,482,363,1355.725,29,51.2798634812287,53.1966291098859,50.5412233306902,60,103.737852440576,51.6860465116279,39.344262295082,36.7773700418595,58,76.1216323369415,51.8987341772152,29.0324365192056,26.9081118958491,48,59.7938144329897,2.56689225322245,1.72601375647716,19,51.7287234042553,102.426989730424,48.4602917341977,73.7907761529809,54.5757071547421,8.84146341463415,6.52418447694038,93.5855263157895,233,223,313,311
"14","EDM","20142015",82,83,648,687,753,778,1360,1312,970,986,705,723,46,71,486,575,470,1514.475,31,50.8982035928144,53.8800574456495,51.9784083593324,48,105.858465804982,49.5910020449898,38.4291586193235,39.0630416480959,-16,77.4922002674194,49.3697478991597,27.9304709552815,28.6435893626504,-18,39.3162393162393,1.8224137077205,2.81285594017729,-25,50.836820083682,96.7046290574144,49.1835401698236,72.680412371134,51.8382352941176,6.52482269503546,4.74226804123711,90.179806362379,265,263,390,326
"15","WSH","20142015",78,76,737,699,676,658,1284,1241,927,884,675,642,53,55,449,498,387,1405.025,29,50.8514851485149,54.8317645593495,52.995498300742,43,107.827262860091,51.1871893981226,39.5864842262593,37.7502179676518,43,77.3367021939111,51.25284738041,28.8251098734898,27.4158822796747,33,49.0740740740741,2.26330492339994,2.34871265635843,-2,53.7081339712919,99.2848736587054,50.6746626686657,72.8155339805825,52.5700934579439,7.85185185185185,5.71736785329018,91.4330218068536,252,242,357,357
"16","VAN","20142015",87,88,545,621,706,718,1293,1256,983,912,736,669,56,65,448,562,414,1436.675,30,50.7257748136524,53.9996867767588,52.4544521203473,37,106.454138897106,51.8733509234829,41.0531261419597,38.0879461256025,71,79.1410722675623,52.3843416370107,30.7376407329424,27.9395131118729,67,46.2809917355372,2.33873353402822,2.71460142342562,-9,51.9721577726218,97.8927016312472,49.5786516853933,74.8728382502543,56.9218870843001,7.60869565217391,5.69684638860631,90.2840059790732,247,243,310,344
"17","STL","20142015",94,91,529,627,790,690,1280,1243,983,897,727,641,54,47,463,521,496,1425.49166666667,30,50.7332540626239,53.8761479957208,52.3187905927195,37,106.19493858844,52.2872340425532,41.3751980310887,37.7553943376262,86,79.1305923687149,53.1432748538012,30.5999684319445,26.980164738482,86,53.4653465346535,2.27289999356947,1.97826480921787,7,48.2794577685089,100.095492127801,53.3783783783784,73.9572736520854,56.796875,7.42778541953232,5.49338758901323,92.6677067082683,256,256,297,346
"18","MTL","20142015",101,80,536,673,829,668,1391,1372,979,972,699,714,59,53,450,548,499,1478.95,31,50.3438291711907,56.4319280570675,55.6611109232902,19,112.093038980358,50.179395181958,39.7173670509483,39.4333817911356,7,79.1507488420839,49.4692144373673,28.3579566584401,28.9664965008959,-15,52.6785714285714,2.3935900469928,2.15017411001048,6,47.418335089568,101.017660282997,55.377421509686,71.3993871297242,50.2516175413372,8.44062947067239,6.02655771195097,92.5770308123249,280,258,412,400
"19","N.J","20142015",94,76,528,563,658,738,1209,1213,887,951,643,711,46,49,421,530,445,1459.34166666667,31,49.9174236168456,49.7073452070283,49.8718029248348,-4,99.5791481318631,48.2589771490751,36.4684989236014,39.0998224085061,-64,75.5683213321075,47.4889217134417,26.4365781374021,29.2323593401134,-68,48.4210526315789,1.89126375477527,2.01460704313018,-3,48.6143187066975,100.26226395697,47.134670487106,72.4915445321308,53.1844499586435,7.15396578538103,5.18602029312289,93.1082981715893,244,240,322,262
"20","ANA","20142015",88,105,834,798,803,707,1348,1364,1016,1005,716,699,58,50,464,552,494,1507.04166666667,32,49.7050147492625,53.6680582819542,54.3050678758052,-16,107.973126157759,50.272142503711,40.4501092095441,40.0121651137715,11,80.4622743233155,50.6007067137809,28.5061793248362,27.8293566313694,17,53.7037037037037,2.30915977771019,1.99065498078465,8,48.4342379958246,100.947482836614,53.1788079470199,70.4724409448819,53.1157270029674,8.10055865921788,5.70866141732283,92.8469241773963,300,306,332,359
"21","DAL","20142015",81,90,527,532,743,730,1337,1363,1003,1003,691,704,61,66,460,568,445,1367.125,29,49.5185185185185,58.6778824174819,59.8189631526013,-26,118.496845570083,50,44.0193837432568,44.0193837432568,0,88.0387674865137,49.5340501792115,30.326414921825,30.8969552893847,-13,48.0314960629921,2.67715095547225,2.89658955837981,-5,50.828729281768,99.4527858176556,50.4412763068568,68.8933200398804,51.6828721017203,8.82778581765557,6.08175473579262,90.625,312,299,334,360
"22","NYR","20142015",66,72,585,585,577,670,1149,1193,855,894,630,643,62,51,370,484,393,1339.53333333333,28,49.0606319385141,51.4656845667646,53.4365201811576,-44,104.902204747922,48.885077186964,38.2969193251381,40.0437963469865,-39,78.3407156721246,49.4893951296151,28.2187826606281,28.8010750012442,-13,54.8672566371681,2.77708654755387,2.28437764395561,11,48.4927916120577,101.909699079217,46.271050521251,73.6842105263158,54.8302872062663,9.84126984126984,7.25146198830409,92.0684292379471,225,251,294,299
"23","ARI","20142015",84,92,756,774,763,675,1276,1344,912,980,635,701,43,65,466,547,425,1440.28333333333,30,48.7022900763359,53.1562076906164,55.9889836490505,-68,109.145191339667,48.2029598308668,37.9925246189986,40.8253005774327,-68,78.8178251964313,47.5299401197605,26.4531284353773,29.2025874538575,-66,39.8148148148148,1.7913142090098,2.70780054850319,-22,52.300785634119,97.4991856403114,53.0598052851182,69.6271929824561,49.7648902821317,6.77165354330709,4.71491228070175,90.7275320970043,277,279,364,364
