Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO
1,New York Rangers,29.8,3,3,0,0,6,1.000,12,6,1.20,-0.80,6.00,1,4,25.00,2,11,81.82,0,0,81,14.8,106,.943,107.9
2,Montreal Canadiens,28.3,3,3,0,0,6,1.000,10,4,0.42,-1.59,4.67,1,14,7.14,2,11,81.82,0,1,102,9.8,79,.949,104.9
3,Nashville Predators,28.5,2,2,0,0,4,1.000,4,1,2.47,0.97,2.50,1,5,20.00,0,8,100.00,0,0,51,7.8,57,.982,105.6
4,Winnipeg Jets,26.6,2,2,0,0,4,1.000,9,3,2.31,-0.69,6.00,1,4,25.00,1,6,83.33,0,0,62,14.5,52,.942,107.4
5,Chicago Blackhawks,28.3,3,2,1,0,4,.667,9,6,0.60,-0.40,5.00,2,11,18.18,0,4,100.00,1,1,103,8.7,92,.935,101.7
6,Ottawa Senators,26.9,3,2,1,0,4,.667,9,8,-1.25,-1.59,5.67,3,10,30.00,2,14,85.71,1,0,76,10.5,102,.922,104.7
7,Detroit Red Wings,28.7,2,2,0,0,4,1.000,8,3,2.22,-0.28,5.50,1,5,20.00,1,9,88.89,0,0,41,19.5,69,.957,111.8
8,San Jose Sharks,28.3,2,2,0,0,4,1.000,7,1,-1.15,-4.15,4.00,2,9,22.22,0,7,100.00,0,0,76,9.2,47,.979,106.3
9,Arizona Coyotes,28.4,2,2,0,0,4,1.000,6,2,-2.21,-4.21,4.00,0,7,0.00,0,8,100.00,0,1,61,9.8,69,.971,106.2
10,Tampa Bay Lightning,27.4,2,2,0,0,4,1.000,7,3,-0.34,-2.34,5.00,1,6,16.67,1,5,80.00,0,0,63,11.1,50,.940,104.2
11,Minnesota Wild,27.3,2,2,0,0,4,1.000,8,6,3.53,2.53,7.00,2,5,40.00,3,5,40.00,0,0,49,16.3,55,.891,104.9
12,Vancouver Canucks,29.7,2,1,0,1,3,.750,7,4,0.00,-1.50,5.50,1,7,14.29,1,4,75.00,0,0,74,9.5,68,.941,103.7
13,Colorado Avalanche,28.2,2,1,1,0,2,.500,10,8,3.13,2.13,9.00,4,6,66.67,2,6,66.67,0,0,51,19.6,63,.873,105.4
14,Dallas Stars,28.7,2,1,1,0,2,.500,6,6,-0.33,-0.33,6.00,3,9,33.33,2,7,71.43,0,0,57,10.5,65,.908,101.3
15,Washington Capitals,27.5,1,1,0,0,2,1.000,5,3,2.27,0.27,8.00,2,5,40.00,1,3,66.67,1,0,27,18.5,24,.875,105.4
16,Florida Panthers,29.4,1,1,0,0,2,1.000,7,1,4.64,-1.36,8.00,3,7,42.86,1,4,75.00,0,0,30,23.3,39,.974,117.0
17,St. Louis Blues,27.7,2,1,1,0,2,.500,5,4,2.78,2.28,4.50,1,6,16.67,2,6,66.67,0,0,63,7.9,43,.907,99.5
18,Calgary Flames,27.9,2,1,1,0,2,.500,4,7,0.00,1.50,5.50,1,4,25.00,1,7,85.71,0,0,68,5.9,74,.905,96.4
19,New York Islanders,27.3,2,0,1,1,1,.250,3,7,-1.80,0.20,5.00,0,4,0.00,2,10,80.00,1,1,65,4.6,69,.899,95.4
20,Toronto Maple Leafs,27.8,3,0,2,1,1,.167,5,12,-1.87,0.47,5.67,2,10,20.00,4,11,63.64,0,0,100,5.0,85,.871,93.8
21,Philadelphia Flyers,28.1,2,0,1,1,1,.250,3,10,-1.15,2.35,6.50,2,7,28.57,4,10,60.00,0,0,64,4.7,62,.839,91.5
22,Edmonton Oilers,26.5,2,0,2,0,0,.000,1,5,0.38,2.38,3.00,1,8,12.50,0,5,100.00,0,0,55,1.8,57,.912,93.6
23,Pittsburgh Penguins,28.1,2,0,2,0,0,.000,1,5,-2.55,-0.55,3.00,0,7,0.00,2,9,77.78,0,0,65,1.5,63,.921,94.3
24,Carolina Hurricanes,27.3,2,0,2,0,0,.000,4,6,1.25,2.25,5.00,1,9,11.11,1,4,75.00,0,0,73,5.5,44,.864,93.1
25,Los Angeles Kings,28.3,2,0,2,0,0,.000,2,9,-4.32,-0.82,5.50,0,10,0.00,2,11,81.82,1,0,61,3.3,54,.833,88.5
26,Boston Bruins,26.9,2,0,2,0,0,.000,4,10,-1.57,1.43,7.00,1,6,16.67,1,6,83.33,0,0,52,7.7,70,.857,94.7
27,Buffalo Sabres,26.0,2,0,2,0,0,.000,2,7,-3.19,-0.69,4.50,1,5,20.00,0,3,100.00,0,0,52,3.8,53,.868,92.0
28,Columbus Blue Jackets,27.3,2,0,2,0,0,.000,4,9,-0.90,1.60,6.50,2,10,20.00,1,4,75.00,0,0,72,5.6,54,.833,90.7
29,New Jersey Devils,27.7,2,0,2,0,0,.000,4,8,0.44,2.44,6.00,2,7,28.57,3,9,66.67,0,1,45,8.9,57,.860,95.6
30,Anaheim Ducks,27.3,1,0,1,0,0,.000,0,2,-2.23,-0.23,2.00,0,1,0.00,0,1,100.00,0,0,27,0.0,44,.955,95.6
