"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","HSCF%","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","PenD","TOI"
"1","CAR",2,"20152016",2,5,-3,61.8,105.7,63.2,3.6,84.8,58.5,88.5,57.4,50,0,11,11,6.8,6.8,13.7,58.3,12,42,30,26.1,18.7,44.8,61.8,40,105,65,65.3,40.4,105.7,65.4,41,54.1,28.6,87,46,82.7,32,13,18,19,62.5,22,34.2,20.5,55,33,1.2,3.1,28.6,3.6,2.3,84.8,52.4,63.2,58.5,48,34,27,35,20,29,50,3,4,1,96.5
"2","MTL",3,"20152016",6,1,5,56.5,115.1,70.4,7.4,98.2,46,105.6,45.9,55.8,5,24,19,10.9,8.6,19.6,56.9,18,74,56,33.7,25.5,59.1,56.5,33,143,110,65.1,50,115.1,59.3,36,52.3,35.9,115,79,88.3,34,23,28,31,59.1,25,36.9,25.5,81,56,2.7,0.5,85.7,7.4,5.2,98.2,56.6,70.4,46,64,75,39,54,46,54,79,9,14,5,131.9
"3","CBJ",2,"20152016",2,8,-6,60.5,100.6,71.6,3.8,81.4,50.5,85.2,50,50,0,15,15,9.6,9.6,19.2,56,10,47,37,30.1,23.7,53.8,60.5,33,95,62,60.9,39.7,100.6,59.2,23,47.4,32.7,74,51,80.1,21,8,21,11,55.2,10,34,27.5,53,43,1.3,5.1,20,3.8,2.7,81.4,55.8,71.6,50.5,50,49,26,47,26,53,53,3,10,7,93.7
"4","NYI",2,"20152016",2,4,-2,57.3,119,67.9,3.6,92.2,57.4,95.8,57.1,53.1,2,17,15,10.5,9.3,19.8,53.9,7,48,41,29.8,25.4,55.2,57.3,28,110,82,68.2,50.8,119,55.9,17,50.2,39.7,81,64,89.9,26,13,29,18,51.9,4,34.1,31.6,55,51,1.2,2.5,33.3,3.6,2.5,92.2,50,67.9,57.4,54,40,32,38,24,86,51,4,3,-1,96.8
"5","S.J",2,"20152016",5,1,4,56.6,117.3,76.9,8.3,97,44.3,105.3,53.3,57.5,6,23,17,14.8,11,25.8,59.3,16,51,35,32.9,22.6,55.4,56.6,24,103,79,66.4,50.9,117.3,58.6,23,50.3,35.4,78,55,85.7,18,22,25,24,64.5,27,38.7,21.3,60,33,3.2,0.6,83.3,8.3,6.4,97,58.3,76.9,44.3,43,54,32,37,28,47,50,6,8,2,93.1
"6","TOR",3,"20152016",3,5,-2,54.4,108.3,74.3,3.7,92.2,52.4,95.9,53.3,52.8,3,28,25,11.7,10.5,22.2,53.6,10,75,65,31.4,27.2,58.5,54.4,23,141,118,58.9,49.3,108.3,54.2,17,45.6,38.5,109,92,84,28,28,32,26,55.9,17,33.9,26.8,81,64,1.3,2.1,37.5,3.7,2.8,92.2,57.4,74.3,52.4,77,70,48,57,42,64,74,12,7,-5,143.5
"7","DAL",2,"20152016",3,4,-1,55.1,121.3,60.3,7.3,90.7,48.6,98,50.7,53.8,3,21,18,13.6,11.7,25.3,60,19,57,38,37,24.7,61.6,55.1,19,103,84,66.8,54.5,121.3,53.1,8,44.1,38.9,68,60,83.1,27,17,35,24,48.8,-2,26.6,27.9,41,43,1.9,2.6,42.9,7.3,4.4,90.7,39.8,60.3,48.6,53,56,35,40,34,25,35,7,6,-1,92.5
"8","L.A",2,"20152016",1,7,-6,55.9,102.5,59.7,2.5,81.6,51.9,84.1,57.4,58.1,5,18,13,12.9,9.3,22.2,57.4,10,39,29,27.9,20.8,48.7,55.9,17,80,63,57.3,45.1,102.5,55.8,14,48,38,67,53,86,27,15,13,10,51.3,2,28.7,27.2,40,38,0.7,5,12.5,2.5,1.5,81.6,50,59.7,51.9,41,38,27,32,20,51,40,10,9,-1,83.7
"9","MIN",2,"20152016",6,3,3,53.7,114.6,62.1,14.6,93,54.5,107.7,60,46.3,-3,19,22,11.6,13.4,25,56.3,11,49,38,29.9,23.2,53,53.7,14,101,87,61.6,53,114.6,51.2,3,40.2,38.4,66,63,78.6,25,20,35,24,48.8,-2,25,26.2,41,43,3.7,1.8,66.7,14.6,9.1,93,40.6,62.1,54.5,55,46,36,41,24,28,42,4,6,2,98.4
"10","STL",2,"20152016",3,2,1,54,104.5,73.8,6.2,93.8,52.6,100,52,57.7,4,15,11,9.7,7.1,16.9,54.8,7,40,33,26,21.4,47.4,54,13,87,74,56.5,48,104.5,58.6,19,42.2,29.9,65,46,72,17,14,22,28,60,16,31.2,20.8,48,32,1.9,1.3,60,6.2,4.6,93.8,55.2,73.8,52.6,41,37,26,28,24,40,27,7,5,-2,92.4
