"","teamname","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","Games","season","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team"
"8","CHI",326,303,36,45,197,298,655,518,463,384,362,279,23,22,250,203,176,614.216666666667,15,"20142015",55.84,63.98,50.6,137,114.58,54.66,45.23,37.51,79,82.74,56.47,35.36,27.25,83,51.11,2.25,2.15,1,58.69,98.47,51.83,78.19,55.27,6.35,4.97,92.11,101,105,192,134
"15","MIN",210,219,25,28,116,168,440,326,349,232,249,156,18,14,147,149,133,426.733333333333,13,"20142015",57.44,61.87,45.84,114,107.7,60.07,49.07,32.62,117,81.69,61.48,35.01,21.93,93,56.25,2.53,1.97,4,52.5,98.25,48.95,71.35,56.59,7.23,5.16,91.03,100,76,91,94
"3","BOS",345,292,37,35,226,273,603,503,437,370,319,275,29,25,227,189,221,629.816666666667,15,"20142015",54.52,57.45,47.92,100,105.36,54.15,41.63,35.25,67,76.88,53.7,30.39,26.2,44,53.7,2.76,2.38,4,50.67,100,54.16,73,52.9,9.09,6.64,90.91,118,95,166,133
"24","S.J",316,329,34,36,218,255,637,562,451,429,331,308,26,22,203,210,232,605.466666666667,16,"20142015",53.13,63.12,55.69,75,118.82,51.25,44.69,42.51,22,87.21,51.8,32.8,30.52,23,54.17,2.58,2.18,4,46.67,100.71,48.99,73.39,51.96,7.85,5.76,92.86,120,121,186,133
"1","ANA",319,311,39,46,308,291,607,538,457,393,310,273,26,18,215,213,202,628.383333333333,16,"20142015",53.01,57.96,51.37,69,109.33,53.76,43.64,37.52,64,81.16,53.17,29.6,26.07,37,59.09,2.48,1.72,8,51.56,101.79,50.63,67.83,51.07,8.39,5.69,93.41,147,120,150,145
"23","PIT",185,183,34,35,172,171,352,286,276,209,200,158,31,11,131,135,102,373.941666666667,13,"20142015",55.17,56.48,45.89,66,102.37,56.91,44.28,33.53,67,77.82,55.87,32.09,25.35,42,73.81,4.97,1.76,20,56.22,108.54,50.27,72.46,56.82,15.5,11.23,93.04,76,51,76,77
"30","WSH",284,288,42,41,245,227,527,463,398,329,292,243,29,25,199,210,163,562.858333333333,14,"20142015",53.23,56.18,49.36,64,105.53,54.75,42.43,35.07,69,77.5,54.58,31.13,25.9,49,53.7,3.09,2.66,4,54.97,99.64,49.65,73.37,55.41,9.93,7.29,89.71,106,86,129,134
"25","STL",331,282,37,44,219,238,563,499,419,378,299,271,19,15,213,185,215,603.991666666667,14,"20142015",53.01,55.93,49.57,64,105.5,52.57,41.62,37.55,41,79.17,52.46,29.7,26.92,28,55.88,1.89,1.49,4,49.77,100.82,54,71.36,53.11,6.35,4.53,94.46,120,107,144,121
"18","NSH",299,323,34,34,224,211,613,564,432,409,292,296,22,17,205,195,222,631.633333333333,14,"20142015",52.08,58.23,53.58,49,111.81,51.37,41.04,38.85,23,79.89,49.66,27.74,28.12,-4,56.41,2.09,1.61,5,48.01,101.79,48.07,67.59,47.63,7.53,5.09,94.26,140,113,181,155
"29","WPG",260,280,45,50,258,231,547,500,405,371,289,269,19,19,182,179,179,554.416666666667,15,"20142015",52.24,59.2,54.11,47,113.31,52.19,43.83,40.15,34,83.98,51.79,31.28,29.11,20,50,2.06,2.06,0,50.42,99.51,48.15,71.36,52.83,6.57,4.69,92.94,116,102,142,129
"12","EDM",302,278,26,35,206,213,514,467,387,360,273,270,26,27,207,200,173,530.775,15,"20142015",52.4,58.1,52.79,47,110.89,51.81,43.75,40.7,27,84.44,50.28,30.86,30.52,3,49.06,2.94,3.05,-1,54.47,99.52,52.07,70.54,53.11,9.52,6.72,90,114,90,127,107
"11","DET",335,303,49,50,207,254,581,536,415,405,299,303,22,25,227,212,199,670.25,15,"20142015",52.01,52.01,47.98,45,99.99,50.61,37.15,36.26,10,73.41,49.67,26.77,27.12,-4,46.81,1.97,2.24,-3,53.29,99.11,52.51,72.05,51.46,7.36,5.3,91.75,116,102,166,131
