"","teamname","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","Games","season","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team"
"5","CAR",130,112,6,11,108,125,271,219,198,165,133,104,6,8,99,69,74,239.883333333333,4,"20142015",55.31,67.78,54.78,52,122.56,54.55,49.52,41.27,33,90.79,56.12,33.27,26.01,29,42.86,1.5,2,-2,57.23,96.82,53.72,67.17,49.08,4.51,3.03,92.31,65,61,73,54
"1","ANA",103,90,8,8,97,104,217,165,163,133,113,91,9,13,63,68,62,187.216666666667,3,"20142015",56.81,69.55,52.88,52,122.42,55.07,52.24,42.62,30,94.86,55.39,36.21,29.16,22,40.91,2.88,4.17,-4,50.4,93.68,53.37,69.33,52.07,7.96,5.52,85.71,50,42,54,32
"29","WPG",112,138,19,15,110,84,247,196,171,147,113,106,7,10,96,75,79,240.866666666667,4,"20142015",55.76,61.53,48.82,51,110.35,53.77,42.6,36.62,24,79.21,51.6,28.15,26.4,7,41.18,1.74,2.49,-3,54.86,96.76,44.8,66.08,45.75,6.19,4.09,90.57,58,41,76,49
"8","CHI",91,92,10,15,35,76,193,145,140,108,112,88,9,8,70,57,56,184.95,3,"20142015",57.1,62.61,47.04,48,109.65,56.45,45.42,35.04,32,80.45,56,36.33,28.55,24,52.94,2.92,2.6,1,55.56,98.94,49.73,80,58.03,8.04,6.43,90.91,28,20,53,37
"28","VAN",62,67,7,6,42,49,127,84,94,63,72,47,4,8,50,45,34,124.05,2,"20142015",60.19,61.43,40.63,43,102.06,59.87,45.47,30.47,31,75.94,60.5,34.82,22.73,25,33.33,1.93,3.87,-4,59.52,88.53,48.06,76.6,56.69,5.56,4.26,82.98,22,16,33,21
"18","NSH",105,102,6,14,48,50,163,124,117,93,89,72,8,7,83,61,63,179.916666666667,3,"20142015",56.79,54.36,41.35,39,95.71,55.71,39.02,31.01,24,70.03,55.28,29.68,24.01,17,53.33,2.67,2.33,1,56.85,99.27,50.72,76.07,54.6,8.99,6.84,90.28,28,21,46,31
"19","NYI",85,104,14,15,102,77,186,149,139,109,107,86,11,8,70,57,62,184.933333333333,3,"20142015",55.52,60.35,48.34,37,108.69,56.05,45.1,35.36,30,80.46,55.44,34.72,27.9,21,57.89,3.57,2.6,3,53.03,100.98,44.97,76.98,57.53,10.28,7.91,90.7,32,23,47,40
"23","PIT",95,85,17,11,113,85,207,172,155,134,111,97,4,8,67,57,56,184.883333333333,3,"20142015",54.62,67.18,55.82,35,123,53.63,50.3,43.49,21,93.79,53.37,36.02,31.48,14,33.33,1.3,2.6,-4,54.47,95.36,52.78,71.61,53.62,3.6,2.58,91.75,44,37,52,38
"11","DET",65,56,9,9,40,25,105,84,83,66,66,45,5,5,51,34,36,119.933333333333,2,"20142015",55.56,52.53,42.02,21,94.55,55.7,41.52,33.02,17,74.54,59.46,33.02,22.51,21,50,2.5,2.5,0,58.62,96.46,53.72,79.52,62.86,7.58,6.02,88.89,17,21,22,18
"24","S.J",105,116,11,8,98,105,240,223,173,174,117,136,6,7,73,68,80,239.866666666667,4,"20142015",51.84,60.03,55.78,17,115.81,49.86,43.27,43.52,-1,86.8,46.25,29.27,34.02,-19,46.15,1.5,1.75,-1,47.71,99.98,47.51,67.63,48.75,5.13,3.47,94.85,56,38,67,49
